0,net,hold,trade,commission,slipp
2018-1-19 9:05,-50.8,0,0,10.8,40
2018-1-19 9:10,0,0,0,0,0
2018-1-19 9:15,0,0,0,0,0
2018-1-19 9:20,0,0,0,0,0
2018-1-19 9:25,0,0,0,0,0
2018-1-19 9:30,0,0,0,0,0
2018-1-19 9:35,0,0,0,0,0
2018-1-19 9:40,0,0,0,0,0
2018-1-19 9:45,0,0,0,0,0
2018-1-19 9:50,0,0,0,0,0
2018-1-19 9:55,0,0,0,0,0
2018-1-19 10:00,0,0,0,0,0
2018-1-19 10:05,0,0,0,0,0
2018-1-19 10:10,0,0,0,0,0
2018-1-19 10:15,0,0,0,0,0
2018-1-19 10:35,0,0,0,0,0
2018-1-19 10:40,0,0,0,0,0
2018-1-19 10:45,0,0,0,0,0
2018-1-19 10:50,0,0,0,0,0
2018-1-19 10:55,0,0,0,0,0
2018-1-19 11:00,0,0,0,0,0
2018-1-19 11:05,0,0,0,0,0
2018-1-19 11:10,0,0,0,0,0
2018-1-19 11:15,0,0,0,0,0
2018-1-19 11:20,0,0,0,0,0
2018-1-19 11:25,0,0,0,0,0
2018-1-19 11:30,0,0,0,0,0
2018-1-19 13:35,0,0,0,0,0
2018-1-19 13:40,0,0,0,0,0
2018-1-19 13:45,0,0,0,0,0
2018-1-19 13:50,0,0,0,0,0
2018-1-19 13:55,0,0,0,0,0
2018-1-19 14:00,0,0,0,0,0
2018-1-19 14:05,0,0,0,0,0
2018-1-19 14:10,0,0,0,0,0
2018-1-19 14:15,0,0,0,0,0
2018-1-19 14:20,0,0,0,0,0
2018-1-19 14:25,0,0,0,0,0
2018-1-19 14:30,0,0,0,0,0
2018-1-19 14:35,0,0,0,0,0
2018-1-19 14:40,0,0,0,0,0
2018-1-19 14:45,0,0,0,0,0
2018-1-19 14:50,0,0,0,0,0
2018-1-19 14:55,0,0,0,0,0
2018-1-19 15:00,0,0,0,0,0
2018-1-19 21:05,0,0,0,0,0
2018-1-19 21:10,0,0,0,0,0
2018-1-19 21:15,0,0,0,0,0
2018-1-19 21:20,0,0,0,0,0
2018-1-19 21:25,0,0,0,0,0
2018-1-19 21:30,0,0,0,0,0
2018-1-19 21:35,0,0,0,0,0
2018-1-19 21:40,0,0,0,0,0
2018-1-19 21:45,0,0,0,0,0
2018-1-19 21:50,0,0,0,0,0
2018-1-19 21:55,0,0,0,0,0
2018-1-19 22:00,0,0,0,0,0
2018-1-19 22:05,0,0,0,0,0
2018-1-19 22:10,0,0,0,0,0
2018-1-19 22:15,0,0,0,0,0
2018-1-19 22:20,0,0,0,0,0
2018-1-19 22:25,0,0,0,0,0
2018-1-19 22:30,0,0,0,0,0
2018-1-19 22:35,0,0,0,0,0
2018-1-19 22:40,0,0,0,0,0
2018-1-19 22:45,0,0,0,0,0
2018-1-19 22:50,0,0,0,0,0
2018-1-19 22:55,0,0,0,0,0
2018-1-19 23:00,0,0,0,0,0
2018-1-19 23:05,0,0,0,0,0
2018-1-19 23:10,0,0,0,0,0
2018-1-19 23:15,0,0,0,0,0
2018-1-19 23:20,0,0,0,0,0
2018-1-19 23:25,0,0,0,0,0
2018-1-19 23:30,0,0,0,0,0
2018-1-22 9:05,0,0,0,0,0
2018-1-22 9:10,0,0,0,0,0
2018-1-22 9:15,0,0,0,0,0
2018-1-22 9:20,0,0,0,0,0
2018-1-22 9:25,0,0,0,0,0
2018-1-22 9:30,0,0,0,0,0
2018-1-22 9:35,0,0,0,0,0
2018-1-22 9:40,0,0,0,0,0
2018-1-22 9:45,0,0,0,0,0
2018-1-22 9:50,0,0,0,0,0
2018-1-22 9:55,0,0,0,0,0
2018-1-22 10:00,0,0,0,0,0
2018-1-22 10:05,0,0,0,0,0
2018-1-22 10:10,0,0,0,0,0
2018-1-22 10:15,0,0,0,0,0
2018-1-22 10:35,0,0,0,0,0
2018-1-22 10:40,0,0,0,0,0
2018-1-22 10:45,0,0,0,0,0
2018-1-22 10:50,0,0,0,0,0
2018-1-22 10:55,0,0,0,0,0
2018-1-22 11:00,0,0,0,0,0
2018-1-22 11:05,0,0,0,0,0
2018-1-22 11:10,0,0,0,0,0
2018-1-22 11:15,0,0,0,0,0
2018-1-22 11:20,0,0,0,0,0
2018-1-22 11:25,0,0,0,0,0
2018-1-22 11:30,0,0,0,0,0
2018-1-22 13:35,0,0,0,0,0
2018-1-22 13:40,0,0,0,0,0
2018-1-22 13:45,0,0,0,0,0
2018-1-22 13:50,0,0,0,0,0
2018-1-22 13:55,0,0,0,0,0
2018-1-22 14:00,0,0,0,0,0
2018-1-22 14:05,0,0,0,0,0
2018-1-22 14:10,0,0,0,0,0
2018-1-22 14:15,0,0,0,0,0
2018-1-22 14:20,0,0,0,0,0
2018-1-22 14:25,0,0,0,0,0
2018-1-22 14:30,0,0,0,0,0
2018-1-22 14:35,0,0,0,0,0
2018-1-22 14:40,0,0,0,0,0
2018-1-22 14:45,0,0,0,0,0
2018-1-22 14:50,0,0,0,0,0
2018-1-22 14:55,0,0,0,0,0
2018-1-22 15:00,0,0,0,0,0
2018-1-22 21:05,0,0,0,0,0
2018-1-22 21:10,0,0,0,0,0
2018-1-22 21:15,0,0,0,0,0
2018-1-22 21:20,0,0,0,0,0
2018-1-22 21:25,0,0,0,0,0
2018-1-22 21:30,0,0,0,0,0
2018-1-22 21:35,0,0,0,0,0
2018-1-22 21:40,0,0,0,0,0
2018-1-22 21:45,0,0,0,0,0
2018-1-22 21:50,0,0,0,0,0
2018-1-22 21:55,0,0,0,0,0
2018-1-22 22:00,0,0,0,0,0
2018-1-22 22:05,0,0,0,0,0
2018-1-22 22:10,0,0,0,0,0
2018-1-22 22:15,0,0,0,0,0
2018-1-22 22:20,0,0,0,0,0
2018-1-22 22:25,0,0,0,0,0
2018-1-22 22:30,0,0,0,0,0
2018-1-22 22:35,0,0,0,0,0
2018-1-22 22:40,0,0,0,0,0
2018-1-22 22:45,0,0,0,0,0
2018-1-22 22:50,0,0,0,0,0
2018-1-22 22:55,0,0,0,0,0
2018-1-22 23:00,0,0,0,0,0
2018-1-22 23:05,0,0,0,0,0
2018-1-22 23:10,0,0,0,0,0
2018-1-22 23:15,0,0,0,0,0
2018-1-22 23:20,0,0,0,0,0
2018-1-22 23:25,0,0,0,0,0
2018-1-22 23:30,0,0,0,0,0
2018-1-23 9:05,0,0,0,0,0
2018-1-23 9:10,0,0,0,0,0
2018-1-23 9:15,0,0,0,0,0
2018-1-23 9:20,0,0,0,0,0
2018-1-23 9:25,0,0,0,0,0
2018-1-23 9:30,0,0,0,0,0
2018-1-23 9:35,0,0,0,0,0
2018-1-23 9:40,0,0,0,0,0
2018-1-23 9:45,0,0,0,0,0
2018-1-23 9:50,0,0,0,0,0
2018-1-23 9:55,0,0,0,0,0
2018-1-23 10:00,0,0,0,0,0
2018-1-23 10:05,0,0,0,0,0
2018-1-23 10:10,0,0,0,0,0
2018-1-23 10:15,0,0,0,0,0
2018-1-23 10:35,0,0,0,0,0
2018-1-23 10:40,0,0,0,0,0
2018-1-23 10:45,0,0,0,0,0
2018-1-23 10:50,0,0,0,0,0
2018-1-23 10:55,0,0,0,0,0
2018-1-23 11:00,0,0,0,0,0
2018-1-23 11:05,0,0,0,0,0
2018-1-23 11:10,0,0,0,0,0
2018-1-23 11:15,0,0,0,0,0
2018-1-23 11:20,0,0,0,0,0
2018-1-23 11:25,0,0,0,0,0
2018-1-23 11:30,0,0,0,0,0
2018-1-23 13:35,0,0,0,0,0
2018-1-23 13:40,0,0,0,0,0
2018-1-23 13:45,0,0,0,0,0
2018-1-23 13:50,0,0,0,0,0
2018-1-23 13:55,0,0,0,0,0
2018-1-23 14:00,0,0,0,0,0
2018-1-23 14:05,0,0,0,0,0
2018-1-23 14:10,0,0,0,0,0
2018-1-23 14:15,0,0,0,0,0
2018-1-23 14:20,0,0,0,0,0
2018-1-23 14:25,0,0,0,0,0
2018-1-23 14:30,0,0,0,0,0
2018-1-23 14:35,0,0,0,0,0
2018-1-23 14:40,0,0,0,0,0
2018-1-23 14:45,0,0,0,0,0
2018-1-23 14:50,0,0,0,0,0
2018-1-23 14:55,0,0,0,0,0
2018-1-23 15:00,0,0,0,0,0
2018-1-23 21:05,0,0,0,0,0
2018-1-23 21:10,0,0,0,0,0
2018-1-23 21:15,0,0,0,0,0
2018-1-23 21:20,0,0,0,0,0
2018-1-23 21:25,0,0,0,0,0
2018-1-23 21:30,0,0,0,0,0
2018-1-23 21:35,0,0,0,0,0
2018-1-23 21:40,0,0,0,0,0
2018-1-23 21:45,0,0,0,0,0
2018-1-23 21:50,0,0,0,0,0
2018-1-23 21:55,0,0,0,0,0
2018-1-23 22:00,0,0,0,0,0
2018-1-23 22:05,0,0,0,0,0
2018-1-23 22:10,0,0,0,0,0
2018-1-23 22:15,0,0,0,0,0
2018-1-23 22:20,0,0,0,0,0
2018-1-23 22:25,0,0,0,0,0
2018-1-23 22:30,0,0,0,0,0
2018-1-23 22:35,0,0,0,0,0
2018-1-23 22:40,0,0,0,0,0
2018-1-23 22:45,0,0,0,0,0
2018-1-23 22:50,0,0,0,0,0
2018-1-23 22:55,0,0,0,0,0
2018-1-23 23:00,0,0,0,0,0
2018-1-23 23:05,0,0,0,0,0
2018-1-23 23:10,0,0,0,0,0
2018-1-23 23:15,0,0,0,0,0
2018-1-23 23:20,0,0,0,0,0
2018-1-23 23:25,0,0,0,0,0
2018-1-23 23:30,0,0,0,0,0
2018-1-24 9:05,0,0,0,0,0
2018-1-24 9:10,0,0,0,0,0
2018-1-24 9:15,0,0,0,0,0
2018-1-24 9:20,0,0,0,0,0
2018-1-24 9:25,0,0,0,0,0
2018-1-24 9:30,0,0,0,0,0
2018-1-24 9:35,0,0,0,0,0
2018-1-24 9:40,0,0,0,0,0
2018-1-24 9:45,0,0,0,0,0
2018-1-24 9:50,0,0,0,0,0
2018-1-24 9:55,0,0,0,0,0
2018-1-24 10:00,0,0,0,0,0
2018-1-24 10:05,0,0,0,0,0
2018-1-24 10:10,0,0,0,0,0
2018-1-24 10:15,0,0,0,0,0
2018-1-24 10:35,0,0,0,0,0
2018-1-24 10:40,0,0,0,0,0
2018-1-24 10:45,0,0,0,0,0
2018-1-24 10:50,0,0,0,0,0
2018-1-24 10:55,0,0,0,0,0
2018-1-24 11:00,0,0,0,0,0
2018-1-24 11:05,0,0,0,0,0
2018-1-24 11:10,0,0,0,0,0
2018-1-24 11:15,0,0,0,0,0
2018-1-24 11:20,0,0,0,0,0
2018-1-24 11:25,0,0,0,0,0
2018-1-24 11:30,0,0,0,0,0
2018-1-24 13:35,0,0,0,0,0
2018-1-24 13:40,0,0,0,0,0
2018-1-24 13:45,0,0,0,0,0
2018-1-24 13:50,0,0,0,0,0
2018-1-24 13:55,0,0,0,0,0
2018-1-24 14:00,0,0,0,0,0
2018-1-24 14:05,0,0,0,0,0
2018-1-24 14:10,0,0,0,0,0
2018-1-24 14:15,0,0,0,0,0
2018-1-24 14:20,0,0,0,0,0
2018-1-24 14:25,0,0,0,0,0
2018-1-24 14:30,0,0,0,0,0
2018-1-24 14:35,0,0,0,0,0
2018-1-24 14:40,0,0,0,0,0
2018-1-24 14:45,0,0,0,0,0
2018-1-24 14:50,0,0,0,0,0
2018-1-24 14:55,0,0,0,0,0
2018-1-24 15:00,0,0,0,0,0
2018-1-24 21:05,0,0,0,0,0
2018-1-24 21:10,0,0,0,0,0
2018-1-24 21:15,0,0,0,0,0
2018-1-24 21:20,0,0,0,0,0
2018-1-24 21:25,0,0,0,0,0
2018-1-24 21:30,0,0,0,0,0
2018-1-24 21:35,0,0,0,0,0
2018-1-24 21:40,0,0,0,0,0
2018-1-24 21:45,0,0,0,0,0
2018-1-24 21:50,0,0,0,0,0
2018-1-24 21:55,0,0,0,0,0
2018-1-24 22:00,0,0,0,0,0
2018-1-24 22:05,0,0,0,0,0
2018-1-24 22:10,0,0,0,0,0
2018-1-24 22:15,0,0,0,0,0
2018-1-24 22:20,0,0,0,0,0
2018-1-24 22:25,0,0,0,0,0
2018-1-24 22:30,0,0,0,0,0
2018-1-24 22:35,0,0,0,0,0
2018-1-24 22:40,0,0,0,0,0
2018-1-24 22:45,0,0,0,0,0
2018-1-24 22:50,0,0,0,0,0
2018-1-24 22:55,0,0,0,0,0
2018-1-24 23:00,0,0,0,0,0
2018-1-24 23:05,0,0,0,0,0
2018-1-24 23:10,0,0,0,0,0
2018-1-24 23:15,0,0,0,0,0
2018-1-24 23:20,0,0,0,0,0
2018-1-24 23:25,0,0,0,0,0
2018-1-24 23:30,0,0,0,0,0
2018-1-25 9:05,0,0,0,0,0
2018-1-25 9:10,0,0,0,0,0
2018-1-25 9:15,0,0,0,0,0
2018-1-25 9:20,0,0,0,0,0
2018-1-25 9:25,0,0,0,0,0
2018-1-25 9:30,0,0,0,0,0
2018-1-25 9:35,0,0,0,0,0
2018-1-25 9:40,0,0,0,0,0
2018-1-25 9:45,0,0,0,0,0
2018-1-25 9:50,0,0,0,0,0
2018-1-25 9:55,0,0,0,0,0
2018-1-25 10:00,0,0,0,0,0
2018-1-25 10:05,0,0,0,0,0
2018-1-25 10:10,0,0,0,0,0
2018-1-25 10:15,0,0,0,0,0
2018-1-25 10:35,0,0,0,0,0
2018-1-25 10:40,0,0,0,0,0
2018-1-25 10:45,0,0,0,0,0
2018-1-25 10:50,0,0,0,0,0
2018-1-25 10:55,0,0,0,0,0
2018-1-25 11:00,0,0,0,0,0
2018-1-25 11:05,0,0,0,0,0
2018-1-25 11:10,0,0,0,0,0
2018-1-25 11:15,0,0,0,0,0
2018-1-25 11:20,0,0,0,0,0
2018-1-25 11:25,0,0,0,0,0
2018-1-25 11:30,0,0,0,0,0
2018-1-25 13:35,0,0,0,0,0
2018-1-25 13:40,0,0,0,0,0
2018-1-25 13:45,0,0,0,0,0
2018-1-25 13:50,0,0,0,0,0
2018-1-25 13:55,0,0,0,0,0
2018-1-25 14:00,0,0,0,0,0
2018-1-25 14:05,0,0,0,0,0
2018-1-25 14:10,0,0,0,0,0
2018-1-25 14:15,0,0,0,0,0
2018-1-25 14:20,0,0,0,0,0
2018-1-25 14:25,0,0,0,0,0
2018-1-25 14:30,0,0,0,0,0
2018-1-25 14:35,0,0,0,0,0
2018-1-25 14:40,0,0,0,0,0
2018-1-25 14:45,0,0,0,0,0
2018-1-25 14:50,0,0,0,0,0
2018-1-25 14:55,0,0,0,0,0
2018-1-25 15:00,0,0,0,0,0
2018-1-25 21:05,0,0,0,0,0
2018-1-25 21:10,0,0,0,0,0
2018-1-25 21:15,0,0,0,0,0
2018-1-25 21:20,0,0,0,0,0
2018-1-25 21:25,0,0,0,0,0
2018-1-25 21:30,0,0,0,0,0
2018-1-25 21:35,0,0,0,0,0
2018-1-25 21:40,0,0,0,0,0
2018-1-25 21:45,0,0,0,0,0
2018-1-25 21:50,0,0,0,0,0
2018-1-25 21:55,0,0,0,0,0
2018-1-25 22:00,0,0,0,0,0
2018-1-25 22:05,0,0,0,0,0
2018-1-25 22:10,0,0,0,0,0
2018-1-25 22:15,0,0,0,0,0
2018-1-25 22:20,0,0,0,0,0
2018-1-25 22:25,0,0,0,0,0
2018-1-25 22:30,0,0,0,0,0
2018-1-25 22:35,0,0,0,0,0
2018-1-25 22:40,0,0,0,0,0
2018-1-25 22:45,0,0,0,0,0
2018-1-25 22:50,0,0,0,0,0
2018-1-25 22:55,0,0,0,0,0
2018-1-25 23:00,0,0,0,0,0
2018-1-25 23:05,0,0,0,0,0
2018-1-25 23:10,0,0,0,0,0
2018-1-25 23:15,0,0,0,0,0
2018-1-25 23:20,0,0,0,0,0
2018-1-25 23:25,0,0,0,0,0
2018-1-25 23:30,0,0,0,0,0
2018-1-26 9:05,0,0,0,0,0
2018-1-26 9:10,0,0,0,0,0
2018-1-26 9:15,0,0,0,0,0
2018-1-26 9:20,0,0,0,0,0
2018-1-26 9:25,0,0,0,0,0
2018-1-26 9:30,0,0,0,0,0
2018-1-26 9:35,0,0,0,0,0
2018-1-26 9:40,0,0,0,0,0
2018-1-26 9:45,0,0,0,0,0
2018-1-26 9:50,0,0,0,0,0
2018-1-26 9:55,0,0,0,0,0
2018-1-26 10:00,0,0,0,0,0
2018-1-26 10:05,0,0,0,0,0
2018-1-26 10:10,0,0,0,0,0
2018-1-26 10:15,0,0,0,0,0
2018-1-26 10:35,0,0,0,0,0
2018-1-26 10:40,0,0,0,0,0
2018-1-26 10:45,0,0,0,0,0
2018-1-26 10:50,0,0,0,0,0
2018-1-26 10:55,0,0,0,0,0
2018-1-26 11:00,0,0,0,0,0
2018-1-26 11:05,0,0,0,0,0
2018-1-26 11:10,0,0,0,0,0
2018-1-26 11:15,0,0,0,0,0
2018-1-26 11:20,0,0,0,0,0
2018-1-26 11:25,0,0,0,0,0
2018-1-26 11:30,0,0,0,0,0
2018-1-26 13:35,0,0,0,0,0
2018-1-26 13:40,0,0,0,0,0
2018-1-26 13:45,0,0,0,0,0
2018-1-26 13:50,0,0,0,0,0
2018-1-26 13:55,0,0,0,0,0
2018-1-26 14:00,0,0,0,0,0
2018-1-26 14:05,0,0,0,0,0
2018-1-26 14:10,0,0,0,0,0
2018-1-26 14:15,0,0,0,0,0
2018-1-26 14:20,0,0,0,0,0
2018-1-26 14:25,0,0,0,0,0
2018-1-26 14:30,0,0,0,0,0
2018-1-26 14:35,0,0,0,0,0
2018-1-26 14:40,0,0,0,0,0
2018-1-26 14:45,0,0,0,0,0
2018-1-26 14:50,0,0,0,0,0
2018-1-26 14:55,0,0,0,0,0
2018-1-26 15:00,0,0,0,0,0
