s_x,s_y,e_x,e_y
2019-08-14 21:29:00,5552.0,2019-08-14 22:19:00,5527.0
2019-08-14 22:19:00,5527.0,2019-08-14 22:43:00,5547.0
2019-08-14 22:43:00,5547.0,2019-08-15 09:39:00,5465.0
2019-08-15 09:39:00,5465.0,2019-08-15 10:13:00,5502.0
2019-08-15 10:13:00,5502.0,2019-08-15 10:51:00,5482.0
2019-08-15 10:51:00,5482.0,2019-08-15 11:05:00,5488.0
2019-08-15 11:05:00,5488.0,2019-08-15 13:30:00,5463.0
2019-08-15 13:30:00,5463.0,2019-08-15 13:49:00,5494.0
2019-08-15 13:49:00,5494.0,2019-08-15 14:02:00,5487.0
2019-08-15 14:02:00,5487.0,2019-08-15 14:12:00,5496.0
2019-08-15 14:12:00,5496.0,2019-08-15 14:28:00,5474.0
