datetime,order_id,pfname,minx,vtSymbol, direction, offset, price, volume
'2019-10-15 10:45:01', 'atrrsi', '1571107501', 'min5', 'SR001', '多', '开仓', 5534.0, 0
'2019-10-15 14:25:00', 'atrrsi', '1571120700', 'min5', 'c2001', '空', '开仓', 1840.0, 0
'2019-10-15 14:50:00', 'atrrsi', '1571122200', 'min5', 'rb2001', '多', '开仓', 3341.0, 0
'2019-10-15 21:25:01', 'atrrsi', '1571145901', 'min5', 'SR001', '空', '开仓', 5533.0, 0
'2019-10-15 21:55:01', 'atrrsi', '1571147701', 'min5', 'rb2001', '多', '开仓', 3343.0, 0
'2019-10-15 22:30:00', 'atrrsi', '1571149800', 'min5', 'SR001', '多', '平仓', 5545.0, 0
'2019-10-15 22:45:01', 'atrrsi', '1571150701', 'min5', 'c2001', '空', '开仓', 1841.0, 0
'2019-10-15 22:45:02', 'atrrsi', '1571150702', 'min5', 'CF001', '多', '开仓', 12705.0, 0
'2019-10-15 23:05:01', 'atrrsi', '1571151901', 'min5', 'SR001', '多', '开仓', 5547.0, 0
'2019-10-16 00:35:00', 'atrrsi', '1571157300', 'min5', 'ag1912', '空', '开仓', 4290.0, 0
'2019-10-16 02:05:02', 'atrrsi', '1571162702', 'min5', 'ag1912', '多', '平仓', 4293.0, 0
'2019-10-16 09:05:01', 'atrrsi', '1571187901', 'min5', 'CF001', '空', '平仓', 12690.0, 0
'2019-10-16 09:10:01', 'atrrsi', '1571188201', 'min5', 'SR001', '空', '平仓', 5533.0, 0
'2019-10-16 09:15:01', 'atrrsi', '1571188501', 'min5', 'rb2001', '空', '平仓', 3342.0, 0
'2019-10-16 09:20:00', 'atrrsi', '1571188800', 'min5', 'SR001', '空', '开仓', 5536.0, 0
'2019-10-16 09:25:00', 'atrrsi', '1571189100', 'min5', 'c2001', '多', '平仓', 1847.0, 0
'2019-10-16 09:40:00', 'atrrsi', '1571190000', 'min5', 'rb2001', '空', '开仓', 3336.0, 0
'2019-10-16 10:40:01', 'atrrsi', '1571193601', 'min5', 'rb2001', '多', '平仓', 3342.0, 0
'2019-10-16 10:50:00', 'atrrsi', '1571194200', 'min5', 'rb2001', '空', '开仓', 3330.0, 0
'2019-10-16 11:05:00', 'atrrsi', '1571195101', 'min5', 'CF001', '空', '开仓', 12640.0, 0
'2019-10-16 11:10:00', 'atrrsi', '1571195400', 'min5', 'SR001', '多', '平仓', 5540.0, 0
'2019-10-16 13:40:00', 'atrrsi', '1571204400', 'min5', 'ag1912', '空', '开仓', 4297.0, 0
