name,symbol,seq,begin,end,num
白糖,SR,1,21:00:00,23:30:59,150
白糖,SR,2,09:00:00,10:15:59,75
白糖,SR,3,10:30:00,11:30:59,60
白糖,SR,4,13:30:00,15:00:59,90
棉花,CF,1,21:00:00,23:30:59,150
棉花,CF,2,09:00:00,10:15:59,75
棉花,CF,3,10:30:00,11:30:59,60
棉花,CF,4,13:30:00,15:00:59,90
螺纹,rb,1,21:00:00,23:00:59,120
螺纹,rb,2,09:00:00,10:15:59,75
螺纹,rb,3,10:30:00,11:30:59,60
螺纹,rb,4,13:30:00,15:00:59,90
玉米,c,1,21:00:00,23:00:59,120
玉米,c,2,09:00:00,10:15:59,75
玉米,c,3,10:30:00,11:30:59,60
玉米,c,4,13:30:00,15:00:59,90
白银,ag,1,21:00:00,02:30:59,330
白银,ag,2,09:00:00,10:15:59,75
白银,ag,3,10:30:00,11:30:59,60
白银,ag,4,13:30:00,15:00:59,90
