rsiLength,trailingPercent,victoryPercent,totalReturn,maxDdPercent,totalTradeCount,sharpeRatio
5,0.4,0.1,499.4025640000005,-97.94397905039358,358,2.592415695340161
5,0.4,0.2,501.3049639999996,-75.11920298221939,350,2.260127303730325
5,0.4,0.3,1153.2040999999983,-71.8192626720015,342,2.6032394216517547
5,0.4,0.4,1366.063268,-51.880307439044806,330,3.0094706073607433
5,0.4,0.5,1438.9223400000012,-74.19077219074327,318,2.7632274496330163
10,0.4,0.1,-383.19984400000027,-186.08244397611554,202,-1.0640361927576596
10,0.4,0.2,-502.72957200000013,-224.52407956827304,200,0.8431917439263653
10,0.4,0.3,192.73965600000068,-89.51409042976412,198,1.8415517432623254
10,0.4,0.4,783.2090160000005,-53.96643526089269,196,2.5308065391092662
10,0.4,0.5,1109.1543720000004,-59.72537376470528,192,2.7505017244703285
5,0.5,0.1,1077.513828,-169.44835104813475,324,-1.011830949669613
5,0.5,0.2,1063.9471199999998,-110.86278678622877,318,0.4873781900828254
5,0.5,0.3,1779.427819999997,-114.18973603291928,316,-0.47653623453427274
5,0.5,0.4,2301.8065880000017,-79.00837193493088,306,2.9978179934644404
5,0.5,0.5,2551.078479999998,-103.36690147123039,288,-0.18278053998053526
10,0.5,0.1,224.18531999999988,-211.50783519706954,192,-1.2426785497084418
10,0.5,0.2,19.655747999999917,-225.69949264046735,190,-1.4700694569842614
10,0.5,0.3,494.6544160000007,-176.2542827260562,190,-1.0204487850438848
10,0.5,0.4,1020.601788000001,-94.98426932664431,186,2.1069379365852563
10,0.5,0.5,1882.0153160000004,-94.98426932664431,180,2.3018033241076252
5,0.6,0.1,1678.0286279999996,-129.7505468561314,280,-1.2276339066615398
5,0.6,0.2,1673.4990800000003,-136.77114118962504,278,-0.34427944963133383
5,0.6,0.3,2183.4983599999996,-101.02030308780022,278,2.3545593254622212
5,0.6,0.4,2644.4468720000023,-71.49161392277338,274,3.264037958811075
5,0.6,0.5,2951.3432120000007,-70.81952359938882,266,3.35178051433154
10,0.6,0.1,1103.4641240000005,-122.8112184639505,174,1.4459937851564315
10,0.6,0.2,943.9347800000005,-132.25646392616503,172,-1.1067970201055704
10,0.6,0.3,1483.9334119999985,-132.25646392616503,172,0.11940825297605476
10,0.6,0.4,1834.4115320000003,-73.14222689526015,170,2.9352790154919317
10,0.6,0.5,2034.88574,-73.14222689526015,168,2.9995097710006506
5,0.7,0.1,2828.263984000001,-115.11919438413685,258,0.7183825104977724
5,0.7,0.2,2703.734004000001,-121.79324747248673,256,-1.1437468246068585
5,0.7,0.3,2993.732564000003,-107.68023705286893,256,1.2211471756744428
5,0.7,0.4,3314.6967480000003,-75.84191329645407,252,3.3857697923968018
5,0.7,0.5,3171.1341440000006,-75.0285647192014,246,3.3859277372657597
10,0.7,0.1,1464.8787559999996,-90.22438379973771,168,2.463171021194922
10,0.7,0.2,1224.878588,-96.18265674009268,168,2.112851404877856
10,0.7,0.3,1529.8766800000003,-96.18265674009268,168,1.897103270144479
10,0.7,0.4,1915.354716000001,-61.34816540304598,166,3.1285426178337947
10,0.7,0.5,2140.8290560000005,-61.34816540304598,164,3.205346785512301
5,0.8,0.1,1887.5757159999973,-122.15697471364429,240,1.186332666058987
5,0.8,0.2,2038.0457719999977,-124.6220798594147,238,0.46892800703014287
5,0.8,0.3,2378.5162120000005,-112.8772644878029,236,1.2110787982426627
5,0.8,0.4,2708.9945480000033,-85.82025338107087,234,2.9662510071132178
5,0.8,0.5,2810.4321720000016,-84.76703965847497,228,3.042228362685771
10,0.8,0.1,1130.8304959999996,-89.01679515148786,164,2.3668774148540175
10,0.8,0.2,960.8306880000009,-94.64742832617748,164,2.1057380990395482
10,0.8,0.3,1231.3007199999995,-92.1267037177935,162,2.1952783255879513
10,0.8,0.4,1656.7787079999998,-55.35918779664147,160,3.0623295112226026
10,0.8,0.5,1987.253588,-55.35918779664147,158,3.196709306253424
5,0.9,0.1,1426.9106559999993,-93.67655247487296,222,2.706145021702519
5,0.9,0.2,1497.3805679999982,-95.56692796988796,220,2.707254061633426
5,0.9,0.3,2287.851464000002,-89.98976413618254,218,2.9124290647951585
5,0.9,0.4,2938.799688000002,-69.44997707020481,214,3.501709696828147
5,0.9,0.5,2929.7534560000026,-68.88899704980321,210,3.5134818755384014
10,0.9,0.1,442.24757600000004,-90.99982497820757,158,2.05884417816513
10,0.9,0.2,297.2478520000003,-96.75589193772089,158,1.7939094305681262
10,0.9,0.3,797.7181240000016,-94.23516732933692,156,1.9220882304790552
10,0.9,0.4,1093.6652560000011,-56.626169337535046,152,2.7266938836353822
10,0.9,0.5,968.6646200000023,-56.701091381236616,152,2.6388026291744926
