market,symbol,datetime,open,high,low,close,volume,amout,hold
DC,c1805,2018-01-02 09:01:00,1818.0000,1821.0000,1817.0000,1820.0000,12664.0000,230317300.0000,984020
DC,c1805,2018-01-02 09:02:00,1820.0000,1821.0000,1816.0000,1816.0000,6556.0000,119199800.0000,984540
DC,c1805,2018-01-02 09:03:00,1816.0000,1817.0000,1815.0000,1817.0000,4578.0000,83136600.0000,982910
DC,c1805,2018-01-02 09:04:00,1817.0000,1818.0000,1816.0000,1818.0000,3646.0000,66248060.0000,984526
DC,c1805,2018-01-02 09:05:00,1818.0000,1822.0000,1817.0000,1822.0000,12604.0000,229374180.0000,983630
DC,c1805,2018-01-02 09:06:00,1822.0000,1825.0000,1822.0000,1824.0000,15150.0000,276290900.0000,986578
DC,c1805,2018-01-02 09:07:00,1824.0000,1825.0000,1823.0000,1824.0000,6272.0000,114425200.0000,985398
DC,c1805,2018-01-02 09:08:00,1824.0000,1825.0000,1823.0000,1824.0000,6352.0000,115872680.0000,983634
DC,c1805,2018-01-02 09:09:00,1824.0000,1825.0000,1823.0000,1824.0000,2568.0000,46839740.0000,982436
DC,c1805,2018-01-02 09:10:00,1824.0000,1825.0000,1823.0000,1824.0000,3018.0000,55047320.0000,980898
DC,c1805,2018-01-02 09:11:00,1824.0000,1826.0000,1824.0000,1825.0000,5892.0000,107530400.0000,981240
DC,c1805,2018-01-02 09:12:00,1825.0000,1825.0000,1823.0000,1823.0000,3056.0000,55738200.0000,980444
DC,c1805,2018-01-02 09:13:00,1823.0000,1824.0000,1822.0000,1822.0000,2974.0000,54215480.0000,980118
DC,c1805,2018-01-02 09:14:00,1822.0000,1823.0000,1822.0000,1822.0000,662.0000,12062680.0000,979800
DC,c1805,2018-01-02 09:15:00,1822.0000,1823.0000,1822.0000,1823.0000,3798.0000,69225800.0000,979194
DC,c1805,2018-01-02 09:16:00,1823.0000,1824.0000,1822.0000,1824.0000,4996.0000,91067920.0000,978920
DC,c1805,2018-01-02 09:17:00,1823.0000,1824.0000,1823.0000,1824.0000,726.0000,13239760.0000,978936
DC,c1805,2018-01-02 09:18:00,1824.0000,1824.0000,1823.0000,1824.0000,184.0000,3355600.0000,978902
DC,c1805,2018-01-02 09:19:00,1824.0000,1824.0000,1822.0000,1822.0000,2128.0000,38795100.0000,979678
DC,c1805,2018-01-02 09:20:00,1822.0000,1824.0000,1822.0000,1824.0000,1806.0000,32922080.0000,979800
DC,c1805,2018-01-02 09:21:00,1823.0000,1824.0000,1823.0000,1823.0000,2546.0000,46419700.0000,980578
DC,c1805,2018-01-02 09:22:00,1823.0000,1824.0000,1823.0000,1824.0000,3524.0000,64276080.0000,981680
DC,c1805,2018-01-02 09:23:00,1824.0000,1825.0000,1823.0000,1825.0000,1150.0000,20978600.0000,981986
DC,c1805,2018-01-02 09:24:00,1825.0000,1825.0000,1824.0000,1825.0000,4242.0000,77387140.0000,984350
DC,c1805,2018-01-02 09:25:00,1825.0000,1825.0000,1823.0000,1824.0000,2944.0000,53698340.0000,984396
DC,c1805,2018-01-02 09:26:00,1824.0000,1825.0000,1824.0000,1825.0000,1222.0000,22299960.0000,985074
DC,c1805,2018-01-02 09:27:00,1825.0000,1826.0000,1824.0000,1826.0000,4316.0000,78775800.0000,983988
DC,c1805,2018-01-02 09:28:00,1826.0000,1828.0000,1825.0000,1828.0000,6544.0000,119534300.0000,983078
DC,c1805,2018-01-02 09:29:00,1828.0000,1828.0000,1826.0000,1826.0000,2296.0000,41952380.0000,983352
DC,c1805,2018-01-02 09:30:00,1826.0000,1827.0000,1826.0000,1827.0000,746.0000,13626140.0000,983508
DC,c1805,2018-01-02 09:31:00,1827.0000,1829.0000,1827.0000,1829.0000,4928.0000,90074480.0000,985248
DC,c1805,2018-01-02 09:32:00,1829.0000,1829.0000,1826.0000,1827.0000,4884.0000,89255540.0000,985574
DC,c1805,2018-01-02 09:33:00,1827.0000,1828.0000,1827.0000,1827.0000,4068.0000,74345500.0000,985612
DC,c1805,2018-01-02 09:34:00,1827.0000,1829.0000,1827.0000,1828.0000,1348.0000,24643420.0000,985878
DC,c1805,2018-01-02 09:35:00,1828.0000,1829.0000,1827.0000,1829.0000,2898.0000,52975960.0000,986874
DC,c1805,2018-01-02 09:36:00,1828.0000,1829.0000,1827.0000,1827.0000,1846.0000,33744960.0000,986932
DC,c1805,2018-01-02 09:37:00,1827.0000,1828.0000,1827.0000,1827.0000,1110.0000,20283540.0000,987276
DC,c1805,2018-01-02 09:38:00,1827.0000,1828.0000,1827.0000,1828.0000,438.0000,8004900.0000,987382
DC,c1805,2018-01-02 09:39:00,1828.0000,1828.0000,1827.0000,1828.0000,650.0000,11880920.0000,987818
DC,c1805,2018-01-02 09:40:00,1828.0000,1830.0000,1828.0000,1830.0000,6072.0000,111049240.0000,991454
DC,c1805,2018-01-02 09:41:00,1830.0000,1832.0000,1829.0000,1832.0000,10886.0000,199313880.0000,993004
DC,c1805,2018-01-02 09:42:00,1832.0000,1833.0000,1831.0000,1832.0000,4752.0000,87062260.0000,994390
DC,c1805,2018-01-02 09:43:00,1832.0000,1832.0000,1831.0000,1831.0000,1558.0000,28533460.0000,995018
DC,c1805,2018-01-02 09:44:00,1831.0000,1832.0000,1830.0000,1832.0000,2042.0000,37389100.0000,995694
DC,c1805,2018-01-02 09:45:00,1831.0000,1832.0000,1831.0000,1832.0000,3426.0000,62760640.0000,995646
DC,c1805,2018-01-02 09:46:00,1832.0000,1834.0000,1832.0000,1832.0000,6244.0000,114450740.0000,995772
DC,c1805,2018-01-02 09:47:00,1832.0000,1833.0000,1831.0000,1832.0000,3218.0000,58954040.0000,995932
DC,c1805,2018-01-02 09:48:00,1832.0000,1834.0000,1832.0000,1833.0000,5460.0000,100080360.0000,996328
DC,c1805,2018-01-02 09:49:00,1832.0000,1834.0000,1832.0000,1833.0000,3490.0000,63960460.0000,997884
DC,c1805,2018-01-02 09:50:00,1833.0000,1834.0000,1832.0000,1833.0000,3586.0000,65732400.0000,996976
DC,c1805,2018-01-02 09:51:00,1833.0000,1834.0000,1832.0000,1833.0000,1666.0000,30537720.0000,996592
