date,time,open,high,low,close,volume,,
2018-1-16,9:01:00,1790,1790,1785,1786,486,8689440,486
2018-1-16,9:02:00,1786,1786,1783,1785,202,3605980,664
2018-1-16,9:03:00,1785,1788,1785,1788,204,3642980,852
2018-1-16,9:04:00,1788,1788,1787,1787,44,786320,884
2018-1-16,9:05:00,1787,1787,1786,1786,692,12362720,1554
2018-1-16,9:06:00,1786,1788,1786,1788,56,1000280,1604
2018-1-16,9:07:00,1788,1788,1787,1788,240,4290480,1832
2018-1-16,9:08:00,1788,1788,1787,1788,82,1466140,1912
2018-1-16,9:09:00,1787,1788,1786,1787,176,3144360,2072
2018-1-16,9:10:00,1787,1788,1786,1787,40,714940,2098
2018-1-16,9:11:00,1787,1787,1786,1786,66,1178960,2146
2018-1-16,9:12:00,1787,1787,1786,1786,70,1250220,2214
2018-1-16,9:13:00,1786,1788,1786,1788,66,1179780,2274
2018-1-16,9:14:00,1788,1788,1787,1788,210,3754160,2484
2018-1-16,9:15:00,1788,1788,1787,1787,102,1822960,2586
2018-1-16,9:16:00,1787,1788,1786,1788,48,857640,2624
2018-1-16,9:17:00,1788,1788,1785,1785,46,821480,2664
2018-1-16,9:18:00,1785,1786,1785,1786,2,35720,2666
2018-1-16,9:19:00,1786,1787,1786,1787,4,71480,2666
2018-1-16,9:20:00,1787,1787,1786,1786,36,643060,2690
2018-1-16,9:21:00,1786,1786,1786,1786,2,35720,2692
2018-1-16,9:22:00,1786,1786,1786,1786,0,0,2692
2018-1-16,9:23:00,1787,1787,1786,1786,12,214420,2696
2018-1-16,9:24:00,1786,1787,1786,1787,2,35740,2696
2018-1-16,9:25:00,1787,1788,1787,1787,12,214540,2708
2018-1-16,9:26:00,1787,1787,1787,1787,0,0,2708
2018-1-16,9:27:00,1787,1787,1787,1787,0,0,2708
2018-1-16,9:28:00,1787,1787,1787,1787,0,0,2708
2018-1-16,9:29:00,1787,1787,1787,1787,16,285920,2722
2018-1-16,9:30:00,1787,1787,1786,1786,24,428660,2746
2018-1-16,9:31:00,1786,1786,1786,1786,0,0,2746
2018-1-16,9:32:00,1786,1786,1786,1786,10,178600,2756
2018-1-16,9:33:00,1786,1786,1786,1786,200,3572000,2956
2018-1-16,9:34:00,1786,1786,1786,1786,2,35720,2958
2018-1-16,9:35:00,1786,1787,1786,1786,62,1107780,3010
2018-1-16,9:36:00,1787,1787,1786,1786,16,285800,3022
2018-1-16,9:37:00,1786,1786,1785,1785,72,1285200,3094
2018-1-16,9:38:00,1785,1785,1785,1785,2,35700,3094
2018-1-16,9:39:00,1785,1786,1785,1786,4,71420,3096
2018-1-16,9:40:00,1786,1786,1786,1786,12,214320,3108
2018-1-16,9:41:00,1786,1786,1786,1786,10,178600,3118
2018-1-16,9:42:00,1786,1786,1785,1785,2,35700,3118
2018-1-16,9:43:00,1785,1785,1785,1785,0,0,3118
2018-1-16,9:44:00,1785,1787,1785,1787,8,142960,3118
2018-1-16,9:45:00,1786,1787,1786,1787,18,321580,3128
2018-1-16,9:46:00,1787,1787,1787,1787,4,71480,3132
2018-1-16,9:47:00,1785,1787,1785,1787,4,71440,3132
2018-1-16,9:48:00,1787,1787,1787,1787,2,35740,3134
2018-1-16,9:49:00,1787,1787,1787,1787,2,35740,3136
2018-1-16,9:50:00,1787,1787,1787,1787,2,35740,3138
2018-1-16,9:51:00,1787,1787,1787,1787,0,0,3138
2018-1-16,9:52:00,1787,1787,1787,1787,4,71480,3142
2018-1-16,9:53:00,1787,1787,1787,1787,0,0,3142
2018-1-16,9:54:00,1787,1787,1787,1787,0,0,3142
2018-1-16,9:55:00,1787,1787,1787,1787,10,178700,3152
2018-1-16,9:56:00,1786,1786,1786,1786,4,71440,3156
2018-1-16,9:57:00,1786,1786,1786,1786,0,0,3156
2018-1-16,9:58:00,1786,1787,1786,1787,6,107180,3162
2018-1-16,9:59:00,1787,1787,1786,1786,6,107160,3168
2018-1-16,10:00:00,1787,1787,1787,1787,2,35740,3170
2018-1-16,10:01:00,1787,1787,1787,1787,0,0,3170
2018-1-16,10:02:00,1787,1787,1787,1787,0,0,3170
2018-1-16,10:03:00,1786,1786,1786,1786,8,142880,3176
2018-1-16,10:04:00,1786,1786,1786,1786,0,0,3176
2018-1-16,10:05:00,1786,1786,1786,1786,0,0,3176
2018-1-16,10:06:00,1786,1786,1786,1786,0,0,3176
2018-1-16,10:07:00,1787,1787,1787,1787,2,35740,3178
2018-1-16,10:08:00,1787,1787,1787,1787,0,0,3178
2018-1-16,10:09:00,1787,1787,1787,1787,0,0,3178
2018-1-16,10:10:00,1787,1787,1787,1787,0,0,3178
2018-1-16,10:11:00,1787,1787,1787,1787,0,0,3178
2018-1-16,10:12:00,1787,1787,1787,1787,6,107220,3184
2018-1-16,10:13:00,1787,1787,1786,1786,6,107160,3190
2018-1-16,10:14:00,1786,1786,1786,1786,0,0,3190
2018-1-16,10:15:00,1786,1786,1786,1786,8,142880,3198
2018-1-16,10:31:00,1785,1786,1785,1786,8,142840,3202
2018-1-16,10:32:00,1786,1786,1786,1786,2,35720,3204
2018-1-16,10:33:00,1786,1786,1786,1786,2,35720,3206
2018-1-16,10:34:00,1786,1786,1786,1786,2,35720,3208
2018-1-16,10:35:00,1786,1786,1786,1786,0,0,3208
2018-1-16,10:36:00,1786,1786,1786,1786,0,0,3208
2018-1-16,10:37:00,1786,1786,1786,1786,8,142880,3216
2018-1-16,10:38:00,1787,1787,1787,1787,6,107220,3216
2018-1-16,10:39:00,1787,1787,1787,1787,0,0,3216
2018-1-16,10:40:00,1787,1787,1787,1787,0,0,3216
2018-1-16,10:41:00,1787,1787,1787,1787,0,0,3216
2018-1-16,10:42:00,1787,1787,1787,1787,0,0,3216
2018-1-16,10:43:00,1786,1786,1786,1786,4,71440,3220
2018-1-16,10:44:00,1786,1786,1786,1786,0,0,3220
2018-1-16,10:45:00,1786,1786,1786,1786,0,0,3220
2018-1-16,10:46:00,1786,1786,1786,1786,0,0,3220
2018-1-16,10:47:00,1786,1786,1786,1786,0,0,3220
2018-1-16,10:48:00,1786,1786,1786,1786,2,35720,3222
2018-1-16,10:49:00,1786,1786,1786,1786,0,0,3222
2018-1-16,10:50:00,1786,1786,1786,1786,0,0,3222
2018-1-16,10:51:00,1785,1785,1785,1785,4,71400,3222
2018-1-16,10:52:00,1785,1785,1785,1785,0,0,3222
2018-1-16,10:53:00,1785,1785,1785,1785,0,0,3222
2018-1-16,10:54:00,1785,1786,1785,1786,8,142840,3226
2018-1-16,10:55:00,1786,1786,1786,1786,0,0,3226
2018-1-16,10:56:00,1786,1786,1786,1786,0,0,3226
2018-1-16,10:57:00,1786,1786,1786,1786,0,0,3226
2018-1-16,10:58:00,1786,1786,1786,1786,0,0,3226
2018-1-16,10:59:00,1786,1786,1786,1786,0,0,3226
2018-1-16,11:00:00,1786,1786,1786,1786,2,35720,3228
2018-1-16,11:01:00,1786,1786,1786,1786,0,0,3228
2018-1-16,11:02:00,1786,1786,1786,1786,0,0,3228
2018-1-16,11:03:00,1786,1786,1786,1786,0,0,3228
2018-1-16,11:04:00,1785,1785,1785,1785,2,35700,3228
2018-1-16,11:05:00,1785,1785,1785,1785,0,0,3228
2018-1-16,11:06:00,1785,1785,1785,1785,0,0,3228
2018-1-16,11:07:00,1785,1785,1785,1785,0,0,3228
2018-1-16,11:08:00,1785,1785,1785,1785,0,0,3228
2018-1-16,11:09:00,1785,1785,1785,1785,0,0,3228
2018-1-16,11:10:00,1786,1786,1786,1786,28,500080,3256
2018-1-16,11:11:00,1786,1786,1786,1786,0,0,3256
2018-1-16,11:12:00,1786,1786,1786,1786,0,0,3256
2018-1-16,11:13:00,1786,1786,1786,1786,0,0,3256
2018-1-16,11:14:00,1786,1786,1786,1786,0,0,3256
2018-1-16,11:15:00,1786,1786,1786,1786,0,0,3256
2018-1-16,11:16:00,1786,1786,1786,1786,0,0,3256
2018-1-16,11:17:00,1786,1786,1786,1786,0,0,3256
2018-1-16,11:18:00,1786,1786,1786,1786,0,0,3256
2018-1-16,11:19:00,1786,1786,1786,1786,0,0,3256
2018-1-16,11:20:00,1786,1786,1786,1786,0,0,3256
2018-1-16,11:21:00,1786,1786,1786,1786,0,0,3256
2018-1-16,11:22:00,1786,1786,1786,1786,0,0,3256
2018-1-16,11:23:00,1786,1787,1786,1787,4,71480,3256
2018-1-16,11:24:00,1787,1787,1787,1787,0,0,3256
2018-1-16,11:25:00,1787,1787,1787,1787,0,0,3256
2018-1-16,11:26:00,1787,1787,1787,1787,0,0,3256
2018-1-16,11:27:00,1787,1787,1787,1787,0,0,3256
2018-1-16,11:28:00,1787,1787,1787,1787,0,0,3256
2018-1-16,11:29:00,1787,1787,1787,1787,0,0,3256
2018-1-16,11:30:00,1787,1787,1787,1787,0,0,3256
2018-1-16,13:31:00,1787,1787,1787,1787,10,178700,3246
2018-1-16,13:32:00,1787,1787,1787,1787,0,0,3246
2018-1-16,13:33:00,1787,1787,1787,1787,0,0,3246
2018-1-16,13:34:00,1787,1787,1787,1787,0,0,3246
2018-1-16,13:35:00,1787,1787,1787,1787,0,0,3246
2018-1-16,13:36:00,1787,1787,1787,1787,0,0,3246
2018-1-16,13:37:00,1787,1787,1787,1787,0,0,3246
2018-1-16,13:38:00,1787,1787,1787,1787,2,35740,3246
2018-1-16,13:39:00,1787,1787,1786,1786,12,214380,3248
2018-1-16,13:40:00,1786,1786,1786,1786,6,107160,3254
2018-1-16,13:41:00,1786,1786,1786,1786,0,0,3254
2018-1-16,13:42:00,1786,1786,1786,1786,2,35720,3254
2018-1-16,13:43:00,1786,1786,1786,1786,2,35720,3256
2018-1-16,13:44:00,1786,1786,1786,1786,2,35720,3256
2018-1-16,13:45:00,1786,1786,1786,1786,2,35720,3256
2018-1-16,13:46:00,1787,1787,1787,1787,10,178700,3256
2018-1-16,13:47:00,1787,1787,1787,1787,0,0,3256
2018-1-16,13:48:00,1787,1787,1787,1787,0,0,3256
2018-1-16,13:49:00,1787,1787,1786,1786,2,35720,3256
2018-1-16,13:50:00,1786,1786,1786,1786,0,0,3256
2018-1-16,13:51:00,1786,1786,1786,1786,0,0,3256
2018-1-16,13:52:00,1786,1786,1786,1786,0,0,3256
2018-1-16,13:53:00,1786,1786,1786,1786,0,0,3256
2018-1-16,13:54:00,1786,1786,1786,1786,0,0,3256
2018-1-16,13:55:00,1786,1786,1786,1786,0,0,3256
2018-1-16,13:56:00,1787,1787,1787,1787,2,35740,3256
2018-1-16,13:57:00,1787,1787,1787,1787,0,0,3256
2018-1-16,13:58:00,1787,1787,1787,1787,0,0,3256
2018-1-16,13:59:00,1787,1787,1787,1787,0,0,3256
2018-1-16,14:00:00,1787,1787,1786,1787,44,786240,3292
2018-1-16,14:01:00,1787,1787,1787,1787,4,71480,3294
2018-1-16,14:02:00,1787,1787,1787,1787,2,35740,3296
2018-1-16,14:03:00,1787,1787,1787,1787,0,0,3296
2018-1-16,14:04:00,1787,1787,1787,1787,66,1179420,3362
2018-1-16,14:05:00,1787,1787,1787,1787,0,0,3362
2018-1-16,14:06:00,1786,1787,1786,1787,52,929120,3394
2018-1-16,14:07:00,1787,1787,1787,1787,2,35740,3394
2018-1-16,14:08:00,1787,1787,1787,1787,0,0,3394
2018-1-16,14:09:00,1787,1787,1787,1787,20,357400,3386
