date,time,open,high,low,close,volume
2020-05-20,15:00:00,2640.0,2659.0,2613.0,2649.0,0
2020-05-21,15:00:00,2649.0,2657.0,2636.0,2641.0,0
2020-05-22,15:00:00,2645.0,2659.0,2635.0,2649.0,0
2020-05-25,15:00:00,2650.0,2684.0,2649.0,2677.0,0
2020-05-26,15:00:00,2679.0,2682.0,2666.0,2676.0,0
2020-05-27,15:00:00,2677.0,2707.0,2668.0,2694.0,0
2020-05-28,15:00:00,2699.0,2721.0,2685.0,2685.0,0
2020-05-29,15:00:00,2687.0,2701.0,2675.0,2690.0,0
2020-06-01,15:00:00,2688.0,2707.0,2672.0,2677.0,0
2020-06-02,15:00:00,2677.0,2719.0,2658.0,2661.0,0
2020-06-03,15:00:00,2665.0,2680.0,2660.0,2674.0,0
2020-06-04,15:00:00,2676.0,2696.0,2675.0,2688.0,0
2020-06-05,15:00:00,2694.0,2713.0,2686.0,2707.0,0
2020-06-08,15:00:00,2710.0,2712.0,2696.0,2700.0,0
2020-06-09,15:00:00,2700.0,2716.0,2690.0,2707.0,0
2020-06-10,15:00:00,2709.0,2711.0,2691.0,2699.0,0
2020-06-11,15:00:00,2703.0,2709.0,2678.0,2690.0,0
2020-06-12,15:00:00,2689.0,2712.0,2688.0,2711.0,0
2020-06-15,15:00:00,2714.0,2723.0,2692.0,2697.0,0
2020-06-16,15:00:00,2700.0,2716.0,2698.0,2715.0,0
2020-06-17,15:00:00,2718.0,2718.0,2695.0,2704.0,0
2020-06-18,15:00:00,2703.0,2705.0,2690.0,2703.0,0
2020-06-19,15:00:00,2702.0,2704.0,2691.0,2694.0,0
2020-06-22,15:00:00,2698.0,2709.0,2695.0,2700.0,0
2020-06-23,15:00:00,2702.0,2723.0,2692.0,2695.0,0
2020-06-24,15:00:00,2698.0,2701.0,2693.0,2697.0,0
2020-06-29,15:00:00,2690.0,2692.0,2678.0,2687.0,0
2020-06-30,15:00:00,2689.0,2697.0,2680.0,2690.0,0
2020-07-01,15:00:00,2698.0,2742.0,2690.0,2737.0,0
2020-07-02,15:00:00,2742.0,2763.0,2732.0,2753.0,0
2020-07-03,15:00:00,2756.0,2762.0,2743.0,2761.0,0
2020-07-06,15:00:00,2762.0,2790.0,2757.0,2783.0,0
2020-07-07,15:00:00,2788.0,2791.0,2762.0,2763.0,0
2020-07-08,15:00:00,2763.0,2770.0,2745.0,2749.0,0
2020-07-09,15:00:00,2753.0,2761.0,2740.0,2750.0,0
2020-07-10,15:00:00,2756.0,2770.0,2751.0,2761.0,0
2020-07-13,15:00:00,2763.0,2773.0,2715.0,2722.0,0
2020-07-14,15:00:00,2720.0,2725.0,2700.0,2703.0,0
2020-07-15,15:00:00,2705.0,2714.0,2698.0,2705.0,0
2020-07-16,15:00:00,2708.0,2717.0,2697.0,2713.0,0
2020-07-17,15:00:00,2713.0,2719.0,2704.0,2712.0,0
2020-07-20,15:00:00,2714.0,2720.0,2701.0,2712.0,0
2020-07-21,15:00:00,2712.0,2727.0,2710.0,2713.0,0
2020-07-22,15:00:00,2712.0,2720.0,2710.0,2718.0,0
2020-07-23,15:00:00,2720.0,2734.0,2716.0,2728.0,0
2020-07-24,15:00:00,2726.0,2766.0,2726.0,2756.0,0
2020-07-27,15:00:00,2762.0,2779.0,2741.0,2747.0,0
2020-07-28,15:00:00,2752.0,2762.0,2711.0,2716.0,0
2020-07-29,15:00:00,2717.0,2726.0,2712.0,2722.0,0
2020-07-30,15:00:00,2725.0,2729.0,2711.0,2717.0,0
2020-07-31,15:00:00,2715.0,2734.0,2711.0,2731.0,0
2020-08-03,15:00:00,2730.0,2749.0,2726.0,2748.0,0
2020-08-04,15:00:00,2745.0,2755.0,2730.0,2735.0,0
2020-08-05,15:00:00,2736.0,2736.0,2711.0,2714.0,0
2020-08-06,15:00:00,2718.0,2720.0,2696.0,2707.0,0
2020-08-07,15:00:00,2710.0,2714.0,2697.0,2704.0,0
2020-08-10,15:00:00,2700.0,2709.0,2688.0,2699.0,0
2020-08-11,15:00:00,2700.0,2711.0,2694.0,2695.0,0
2020-08-12,15:00:00,2696.0,2705.0,2692.0,2700.0,0
2020-08-13,15:00:00,2702.0,2715.0,2681.0,2710.0,0
2020-08-14,15:00:00,2715.0,2732.0,2711.0,2722.0,0
2020-08-17,15:00:00,2720.0,2743.0,2715.0,2737.0,0
2020-08-18,15:00:00,2741.0,2761.0,2736.0,2742.0,0
2020-08-19,15:00:00,2747.0,2748.0,2726.0,2743.0,0
2020-08-20,15:00:00,2748.0,2760.0,2736.0,2744.0,0
