symbol,exchange,vtSymbol,date,time,open,high,low,close,volume
I99,,I99,20131018,00:00:00,976.7211,984.4105,959.8851,976.0979,338700.0
I99,,I99,20131021,00:00:00,974.2573,975.4591,959.0633,966.9165,104026.0
I99,,I99,20131022,00:00:00,961.1154,964.0002,946.2618,946.2618,98812.0
I99,,I99,20131023,00:00:00,947.1685,950.9239,934.5749,937.4897,122456.0
I99,,I99,20131024,00:00:00,936.1802,937.0292,915.3198,924.6336,177400.0
I99,,I99,20131025,00:00:00,926.4037,933.9942,915.5955,916.595,108826.0
I99,,I99,20131028,00:00:00,918.3361,926.4429,915.591,921.2810000000001,86858.0
I99,,I99,20131029,00:00:00,922.0157,923.2663,911.7965,919.2953,108908.0
I99,,I99,20131030,00:00:00,917.8299,927.868,914.8836,921.9774,124214.0
I99,,I99,20131031,00:00:00,922.8703,924.6721,918.1965,920.084,77154.0
I99,,I99,20131101,00:00:00,919.9603,952.6243,919.9603,941.0438,329152.0
I99,,I99,20131104,00:00:00,941.9864,955.6946,940.8116,948.743,177942.0
I99,,I99,20131105,00:00:00,946.7271,952.6096,941.773,944.799,110230.0
I99,,I99,20131106,00:00:00,947.4881,949.6643,940.8704,942.7961,71754.0
I99,,I99,20131107,00:00:00,943.4597,945.7199,937.7445,943.7801,94728.0
I99,,I99,20131108,00:00:00,944.7439999999999,946.1609,934.6718,937.4533,71884.0
I99,,I99,20131111,00:00:00,938.1458,942.0765,932.4836,940.1135,60720.0
I99,,I99,20131112,00:00:00,938.3084,942.1618,934.4730000000001,941.0353,47886.0
I99,,I99,20131113,00:00:00,939.6266,949.9356,938.1319,940.8326,99902.0
I99,,I99,20131114,00:00:00,938.2217,941.6945,934.9603,934.9603,57574.0
I99,,I99,20131115,00:00:00,936.5189,939.8148,928.0701,929.0862,79910.0
I99,,I99,20131118,00:00:00,929.0079,932.9019,923.3935,930.2544,56586.0
I99,,I99,20131119,00:00:00,929.3516,940.7916,928.3521,939.942,63546.0
I99,,I99,20131120,00:00:00,940.587,943.967,937.9241,939.8938,44890.0
I99,,I99,20131121,00:00:00,939.7871,940.6595,930.065,930.2216,43236.0
I99,,I99,20131122,00:00:00,932.3181,933.1566,927.3343,929.3047,54496.0
I99,,I99,20131125,00:00:00,931.0947,933.9155,926.2751,931.0533,40540.0
I99,,I99,20131126,00:00:00,932.2636,941.2818,932.2099,939.0243,75276.0
I99,,I99,20131127,00:00:00,937.8934,939.7739,931.2819999999999,934.2673,31592.0
