{'dt': '20180102 11:26:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5890.0, 'volume': 1}
{'dt': '20180102 11:27:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5887.0, 'volume': 1}
{'dt': '20180102 13:32:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5894.0, 'volume': 1}
{'dt': '20180102 13:33:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5886.0, 'volume': 1}
{'dt': '20180102 14:52:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5861.0, 'volume': 1}
{'dt': '20180102 21:01:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5847.0, 'volume': 1}
{'dt': '20180102 22:16:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5850.0, 'volume': 1}
{'dt': '20180102 22:19:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5855.0, 'volume': 1}
{'dt': '20180102 23:03:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5856.0, 'volume': 1}
{'dt': '20180103 09:01:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5855.0, 'volume': 1}
{'dt': '20180103 09:49:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5852.0, 'volume': 1}
{'dt': '20180103 10:03:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5855.0, 'volume': 1}
{'dt': '20180103 10:43:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5854.0, 'volume': 1}
{'dt': '20180103 10:59:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5853.0, 'volume': 1}
{'dt': '20180103 11:24:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5856.0, 'volume': 1}
{'dt': '20180103 13:44:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5857.0, 'volume': 1}
{'dt': '20180103 14:45:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5852.0, 'volume': 1}
{'dt': '20180103 14:59:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5852.0, 'volume': 1}
{'dt': '20180103 21:02:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5834.0, 'volume': 1}
{'dt': '20180103 21:03:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5844.0, 'volume': 1}
{'dt': '20180104 14:04:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5823.0, 'volume': 1}
{'dt': '20180104 14:14:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5827.0, 'volume': 1}
{'dt': '20180104 14:51:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5828.0, 'volume': 1}
{'dt': '20180104 14:59:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5825.0, 'volume': 1}
{'dt': '20180104 22:25:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5814.0, 'volume': 1}
{'dt': '20180104 22:31:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5816.0, 'volume': 1}
{'dt': '20180104 23:06:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5816.0, 'volume': 1}
{'dt': '20180104 23:23:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5814.0, 'volume': 1}
{'dt': '20180105 10:00:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5814.0, 'volume': 1}
{'dt': '20180105 10:15:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5811.0, 'volume': 1}
{'dt': '20180105 14:02:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5812.0, 'volume': 1}
{'dt': '20180105 14:03:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5819.0, 'volume': 1}
{'dt': '20180108 14:10:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5816.0, 'volume': 1}
{'dt': '20180108 14:11:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5816.0, 'volume': 1}
{'dt': '20180108 14:51:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5819.0, 'volume': 1}
{'dt': '20180108 21:01:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5824.0, 'volume': 1}
{'dt': '20180108 23:16:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5812.0, 'volume': 1}
{'dt': '20180109 09:01:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5815.0, 'volume': 1}
{'dt': '20180109 09:02:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5818.0, 'volume': 1}
{'dt': '20180109 09:09:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5813.0, 'volume': 1}
{'dt': '20180109 09:52:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5814.0, 'volume': 1}
{'dt': '20180109 10:35:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5816.0, 'volume': 1}
{'dt': '20180109 10:54:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5816.0, 'volume': 1}
{'dt': '20180109 10:57:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5809.0, 'volume': 1}
{'dt': '20180109 10:58:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5803.0, 'volume': 1}
{'dt': '20180109 11:27:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5788.0, 'volume': 1}
{'dt': '20180109 22:52:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5785.0, 'volume': 1}
{'dt': '20180109 23:13:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5781.0, 'volume': 1}
{'dt': '20180110 10:14:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5788.0, 'volume': 1}
{'dt': '20180110 11:02:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5786.0, 'volume': 1}
{'dt': '20180110 13:59:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5795.0, 'volume': 1}
{'dt': '20180110 14:00:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5790.0, 'volume': 1}
{'dt': '20180110 21:44:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5797.0, 'volume': 1}
{'dt': '20180110 22:31:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5798.0, 'volume': 1}
{'dt': '20180110 23:12:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5797.0, 'volume': 1}
{'dt': '20180111 09:04:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5798.0, 'volume': 1}
{'dt': '20180111 09:37:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5797.0, 'volume': 1}
{'dt': '20180111 10:07:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5799.0, 'volume': 1}
{'dt': '20180111 11:03:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5799.0, 'volume': 1}
{'dt': '20180111 11:04:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5796.0, 'volume': 1}
{'dt': '20180111 13:34:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5799.0, 'volume': 1}
{'dt': '20180111 13:41:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5795.0, 'volume': 1}
{'dt': '20180111 14:22:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5800.0, 'volume': 1}
{'dt': '20180111 21:04:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5793.0, 'volume': 1}
{'dt': '20180111 21:32:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '开仓', 'price': 5795.0, 'volume': 1}
{'dt': '20180111 21:36:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '平仓', 'price': 5791.0, 'volume': 1}
{'dt': '20180111 23:27:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5788.0, 'volume': 1}
{'dt': '20180111 23:28:00', 'vtSymbol': 'SR901', 'direction': '多', 'offset': '平仓', 'price': 5791.0, 'volume': 1}
{'dt': '20180112 10:05:00', 'vtSymbol': 'SR901', 'direction': '空', 'offset': '开仓', 'price': 5787.0, 'volume': 1}
