symbol,exchange,vtSymbol,date,time,open,high,low,close,volume
IF99,,IF99,20130104,00:00:00,2570.2454,2575.9332,2511.6804,2541.6144,607696.0
IF99,,IF99,20130107,00:00:00,2546.3195,2562.9977,2532.5044,2542.3534,641934.0
IF99,,IF99,20130108,00:00:00,2545.4634,2557.2538,2516.075,2539.9347,766882.0
IF99,,IF99,20130109,00:00:00,2540.6636,2552.6394,2518.3593,2534.4545,663362.0
IF99,,IF99,20130110,00:00:00,2537.8687,2571.1073,2522.5631,2547.1154,768572.0
IF99,,IF99,20130111,00:00:00,2551.022,2557.4036,2492.4091,2508.0045,842615.0
IF99,,IF99,20130114,00:00:00,2506.1282,2607.3791,2500.0370000000003,2597.6781,855692.0
IF99,,IF99,20130115,00:00:00,2601.7162,2622.5823,2598.1171,2612.3893,590508.0
IF99,,IF99,20130116,00:00:00,2619.1798,2622.7159,2552.0071,2587.4179,835268.0
IF99,,IF99,20130117,00:00:00,2588.5661,2598.8957,2555.3308,2582.8868,867193.0
IF99,,IF99,20130118,00:00:00,2587.7904,2634.5171,2573.2495,2617.8557,932226.0
IF99,,IF99,20130121,00:00:00,2620.6492,2628.2715,2595.1079999999997,2615.3186,696653.0
IF99,,IF99,20130122,00:00:00,2619.5428,2624.0971,2587.6718,2610.2415,837908.0
IF99,,IF99,20130123,00:00:00,2611.6241,2623.9574,2590.5736,2623.5507,747295.0
IF99,,IF99,20130124,00:00:00,2623.4685,2681.6859999999997,2581.8317,2598.8957,1043749.0
IF99,,IF99,20130125,00:00:00,2605.5641,2609.7608,2590.509,2601.4182,547349.0
IF99,,IF99,20130128,00:00:00,2601.6155,2667.6544,2598.7876,2661.8994,823517.0
IF99,,IF99,20130129,00:00:00,2664.4089,2695.3418,2662.0399,2679.5008,630317.0
IF99,,IF99,20130130,00:00:00,2687.2958,2709.2812,2671.5122,2708.3777,662600.0
IF99,,IF99,20130131,00:00:00,2709.1955,2713.9887,2688.2507,2709.8994,680921.0
IF99,,IF99,20130201,00:00:00,2704.9825,2764.1893,2687.5692,2757.0066,926505.0
IF99,,IF99,20130204,00:00:00,2765.7702,2780.4771,2751.9970000000003,2761.8563,690018.0
IF99,,IF99,20130205,00:00:00,2751.8705,2807.9914,2750.2922,2786.7306,822896.0
IF99,,IF99,20130206,00:00:00,2795.9846,2814.1440000000002,2792.2116,2802.7414,581070.0
IF99,,IF99,20130207,00:00:00,2800.9184,2809.9756,2759.5865,2802.4309999999996,832993.0
IF99,,IF99,20130208,00:00:00,2805.2063,2833.9570000000003,2784.1299,2789.3025,722844.0
IF99,,IF99,20130218,00:00:00,2801.7333,2809.1308,2745.6945,2759.6269,663051.0
IF99,,IF99,20130219,00:00:00,2760.2614,2763.7052,2704.5695,2716.9251,674598.0
IF99,,IF99,20130220,00:00:00,2720.7038,2725.678,2704.3296,2718.4776,565419.0
IF99,,IF99,20130221,00:00:00,2706.8719,2707.6083,2598.5095,2622.7403,806615.0
IF99,,IF99,20130222,00:00:00,2622.4174,2633.1912,2601.2584,2601.2584,463622.0
IF99,,IF99,20130225,00:00:00,2597.2511,2649.3346,2591.8389,2612.2638,756908.0
IF99,,IF99,20130226,00:00:00,2599.161,2646.2295,2567.5634,2571.9305,860727.0
IF99,,IF99,20130227,00:00:00,2586.2313,2629.1702,2579.6631,2595.205,919725.0
IF99,,IF99,20130228,00:00:00,2611.849,2692.2966,2605.224,2686.2911,920037.0
IF99,,IF99,20130301,00:00:00,2680.4681,2691.6489,2631.1479,2674.9042,772484.0
IF99,,IF99,20130304,00:00:00,2659.8346,2661.0138,2546.5186,2556.4931,908282.0
IF99,,IF99,20130305,00:00:00,2561.1168,2636.3763,2558.6717,2624.9074,963692.0
IF99,,IF99,20130306,00:00:00,2637.0027,2673.9889,2631.37,2658.1795,898125.0
IF99,,IF99,20130307,00:00:00,2662.5338,2669.0094,2598.6042,2625.4445,983542.0
IF99,,IF99,20130308,00:00:00,2632.6159,2648.0164,2612.8007,2621.7829,818609.0
IF99,,IF99,20130311,00:00:00,2627.1419,2630.9673,2580.9799,2603.29,811962.0
IF99,,IF99,20130312,00:00:00,2605.5869,2633.0872,2538.3801,2563.5521,1026553.0
IF99,,IF99,20130313,00:00:00,2563.2733,2567.857,2522.5811,2536.6595,852822.0
