Date,MarketYear,Commodity,Country,WeeklyExports,AccumulatedExports,OutstandingSales,GrossNewSales,NetSales,TotalCommitment,NMY_OutstandingSales,NMY_NetSales,UnitDesc
2015-09-03,ENDING MY,Corn,ALGERIA,0.0,238847.0,0.0,0.0,0.0,238847.0,0.0,0.0,Metric Tons
2015-09-03,ENDING MY,Corn,ANGOLA,0.0,189.0,0.0,0.0,0.0,189.0,0.0,0.0,Metric Tons
2015-09-03,ENDING MY,Corn,BARBADOS,0.0,30319.0,0.0,0.0,0.0,30319.0,15000.0,15000.0,Metric Tons
2015-09-03,ENDING MY,Corn,CANADA,2479.0,866753.0,46228.0,1557.0,-782.0,912981.0,128072.0,28339.0,Metric Tons
2015-09-03,ENDING MY,Corn,CHILE,0.0,71627.0,0.0,0.0,0.0,71627.0,0.0,0.0,Metric Tons
2015-09-03,ENDING MY,Corn,"CHINA, PEOPLES REPUBLIC OF",0.0,473507.0,205.0,0.0,0.0,473712.0,107.0,0.0,Metric Tons
2015-09-03,ENDING MY,Corn,COLOMBIA,113384.0,4413316.0,173511.0,6420.0,93972.0,4586827.0,538028.0,186452.0,Metric Tons
2015-09-03,ENDING MY,Corn,COSTA RICA,14850.0,784056.0,27053.0,1350.0,-47.0,811109.0,66847.0,0.0,Metric Tons
2015-09-03,ENDING MY,Corn,CUBA,0.0,26250.0,0.0,0.0,0.0,26250.0,0.0,0.0,Metric Tons
2015-09-03,ENDING MY,Corn,DOMINICAN REPUBLIC,0.0,599307.0,450.0,0.0,0.0,599757.0,31550.0,31100.0,Metric Tons
2015-09-03,ENDING MY,Corn,EGYPT,0.0,1486946.0,0.0,0.0,0.0,1486946.0,0.0,0.0,Metric Tons
2015-09-03,ENDING MY,Corn,EL SALVADOR,20020.0,559851.0,0.0,990.0,13432.0,559851.0,56572.0,0.0,Metric Tons
2015-09-03,ENDING MY,Corn,FRENCH WEST INDIES,0.0,0.0,0.0,0.0,0.0,0.0,13737.0,0.0,Metric Tons
2015-09-03,ENDING MY,Corn,GHANA,0.0,26285.0,0.0,0.0,0.0,26285.0,0.0,0.0,Metric Tons
2015-09-03,ENDING MY,Corn,GUATEMALA,34931.0,936662.0,0.0,1115.0,15119.0,936662.0,96455.0,24620.0,Metric Tons
2015-09-03,ENDING MY,Corn,GUYANA,0.0,19326.0,0.0,0.0,0.0,19326.0,0.0,0.0,Metric Tons
2015-09-03,ENDING MY,Corn,HAITI,0.0,2700.0,0.0,0.0,0.0,2700.0,0.0,0.0,Metric Tons
2015-09-03,ENDING MY,Corn,HONDURAS,0.0,429789.0,1795.0,0.0,0.0,431584.0,30154.0,205.0,Metric Tons
2015-09-03,ENDING MY,Corn,HONG KONG,236.0,22899.0,378.0,5.0,5.0,23277.0,2324.0,656.0,Metric Tons
