portfolio,code,cost,num,agent
cash,cash01,352756.5500000001,0,gtja
advance,profit,5765.981249999998,0,gtja
advance,127004,19407.0,210,gtja
advance,128015,20136.0,200,gtja
advance,128023,4100.0,41,gtja
cash,cash01,427917.47600000014,0,pingan
original,profit,-65435.0,0,pingan
original,002273,24495.0,1430,pingan
5G,profit,18061.60999999999,0,pingan
consumer,profit,6056.892999999979,0,pingan
original,profit,78.0,0,cf
wireless,profit,-3620.0,0,pingan
advance,519898,162415.68,162225,gtja
consumer,300036,19096.602000000006,1200,pingan
consumer,002341,19389.04,1600,pingan
5G,002792,38048.988,1100,pingan
original,300408,44371.0,1800,pingan
original,300433,54164.0,3900,pingan
consumer,300693,18827.935000000012,1100,pingan
