date&ins
20181223&"{'ins':'bonus_interest','portfolio':'advance','code':'123001','cost':200,'agent':'gtja'}"
20190201&"{'ins':'buy_order','portfolio':'advance','code':'519898','num':200,'cost':200,'agent':'gtja'}"
20190103&"{'ins':'sell_order','portfolio':'advance','code':'519898','num':61000,'cost':61000,'agent':'gtja'}"
20190201&"{'ins':'buy_order','portfolio':'advance','code':'128012','num':750,'cost':61012.5,'agent':'gtja'}"
20190201&"{'ins':'sell_order','portfolio':'advance','code':'123001','num':200,'cost':20020,'agent':'gtja'}"
20190201&"{'ins':'buy_order','portfolio':'advance','code':'519898','num':20020,'cost':20020,'agent':'gtja'}"
20190217&"{'ins':'sell_order','portfolio':'advance','code':'123003','num':200,'cost':19145,'agent':'gtja'}"
20190217&"{'ins':'sell_order','portfolio':'advance','code':'128012','num':950,'cost':87757,'agent':'gtja'}"
20190217&"{'ins':'buy_order','portfolio':'advance','code':'519898','num':106900,'cost':106900,'agent':'gtja'}"
20190305&"{'ins':'sell_order','portfolio':'advance','code':'128015','num':200,'cost':20200,'agent':'gtja'}"
20190305&"{'ins':'sell_order','portfolio':'advance','code':'127004','num':210,'cost':19450,'agent':'gtja'}"
20190306&"{'ins':'buy_order','portfolio':'advance','code':'519898','num':39650,'cost':39650,'agent':'gtja'}"
20190408&"{'ins':'sell_order','portfolio':'advance','code':'128023','num':41,'cost':4096.72,'agent':'gtja'}"
20190408&"{'ins':'buy_order','portfolio':'advance','code':'519898','num':4100,'cost':4100,'agent':'gtja'}"
20190506&"{'ins':'buy_order','portfolio':'advance','code':'110030','num':200,'cost':20904,'agent':'gtja'}"
20190506&"{'ins':'buy_order','portfolio':'advance','code':'110030','num':200,'cost':20924,'agent':'gtja'}"
20190506&"{'ins':'buy_order','portfolio':'advance','code':'110030','num':200,'cost':20924,'agent':'gtja'}"
20190506&"{'ins':'sell_order','portfolio':'advance','code':'519898','num':63000,'cost':63000,'agent':'gtja'}"
