vtSymbol,size,priceTick,variableCommission,fixedCommission,slippage,name
300659,1,0.01,3e-05,0,0.01,
300401,1,0.01,3e-05,0,0.01,
002690,1,0.01,3e-05,0,0.01,
002041,1,0.01,3e-05,0,0.01,
002315,1,0.01,3e-05,0,0.01,
002216,1,0.01,3e-05,0,0.01,
002511,1,0.01,3e-05,0,0.01,
000803,1,0.01,3e-05,0,0.01,
000858,1,0.01,3e-05,0,0.01,
002481,1,0.01,3e-05,0,0.01,
300672,1,0.01,3e-05,0,0.01,
000831,1,0.01,3e-05,0,0.01,
002759,1,0.01,3e-05,0,0.01,
000157,1,0.01,3e-05,0,0.01,
300427,1,0.01,3e-05,0,0.01,
000612,1,0.01,3e-05,0,0.01,
002869,1,0.01,3e-05,0,0.01,
002882,1,0.01,3e-05,0,0.01,
300576,1,0.01,3e-05,0,0.01,
002395,1,0.01,3e-05,0,0.01,
300532,1,0.01,3e-05,0,0.01,
300482,1,0.01,3e-05,0,0.01,
300127,1,0.01,3e-05,0,0.01,
300220,1,0.01,3e-05,0,0.01,
000966,1,0.01,3e-05,0,0.01,
300041,1,0.01,3e-05,0,0.01,
002695,1,0.01,3e-05,0,0.01,
002142,1,0.01,3e-05,0,0.01,
002237,1,0.01,3e-05,0,0.01,
300475,1,0.01,3e-05,0,0.01,
300301,1,0.01,3e-05,0,0.01,
300463,1,0.01,3e-05,0,0.01,
300087,1,0.01,3e-05,0,0.01,
000715,1,0.01,3e-05,0,0.01,
002436,1,0.01,3e-05,0,0.01,
300046,1,0.01,3e-05,0,0.01,
