code,name,industry,area
000617,中油资本,多元金融,山东
000151,中成股份,商贸代理,北京
000413,东旭光电,元器件,河北
000560,昆百大Ａ,百货,云南
000159,国际实业,石油贸易,新疆
000928,中钢国际,建筑施工,吉林
000752,西藏发展,啤酒,西藏
000762,西藏矿业,小金属,西藏
000710,*ST天仪,汽车配件,四川
000963,华东医药,化学制药,浙江
000532,力合股份,元器件,广东
000678,襄阳轴承,机械基件,湖北
000020,深华发Ａ,元器件,深圳
000534,万泽股份,区域地产,广东
000758,中色股份,铅锌,北京
000411,英特集团,医药商业,浙江
000902,新洋丰,农药化肥,湖北
000828,东莞控股,路桥,广东
000680,山推股份,工程机械,山东
000533,万 家 乐,家用电器,广东
000778,新兴铸管,钢加工,河北
000880,潍柴重机,机械基件,山东
000910,大亚圣象,家居用品,江苏
000615,京汉股份,全国地产,湖北
000725,京东方Ａ,元器件,北京
000662,天夏智慧,软件服务,广西
000040,东旭蓝天,全国地产,深圳
000557,西部创业,红黄药酒,宁夏
000798,中水渔业,渔业,北京
000779,三毛派神,纺织,甘肃
000607,华媒控股,广告包装,浙江
000509,华塑控股,其他建材,四川
000663,永安林业,林业,福建
000736,中房地产,全国地产,重庆
000544,中原环保,环境保护,河南
000997,新 大 陆,软件服务,福建
000728,国元证券,证券,安徽
000546,金圆股份,水泥,吉林
000050,深天马Ａ,元器件,深圳
000421,南京公用,供气供热,江苏
000782,美达股份,化纤,广东
000420,吉林化纤,化纤,吉林
000503,海虹控股,医疗保健,海南
000062,深圳华强,商贸代理,深圳
000502,绿景控股,医疗保健,广东
000983,西山煤电,煤炭开采,山西
000968,*ST煤气,煤炭开采,山西
000608,阳光股份,区域地产,广西
000538,云南白药,中成药,云南
000565,渝三峡Ａ,染料涂料,重庆
000401,冀东水泥,水泥,河北
000712,锦龙股份,多元金融,广东
000585,东北电气,电气设备,江苏
000616,海航投资,全国地产,辽宁
000622,*ST恒立,汽车配件,湖南
000965,天保基建,区域地产,天津
000962,*ST东钽,小金属,宁夏
000665,湖北广电,影视音像,湖北
000426,兴业矿业,铅锌,内蒙
000028,国药一致,医药商业,深圳
000893,东凌国际,食品,广东
000939,凯迪生态,新型电力,湖北
000691,ST亚太,区域地产,甘肃
000430,张家界,旅游景点,湖南
000868,安凯客车,汽车整车,安徽
000703,恒逸石化,化纤,广西
000030,富奥股份,汽车配件,吉林
000423,东阿阿胶,中成药,山东
000043,中航地产,全国地产,深圳
000759,中百集团,超市连锁,湖北
000978,桂林旅游,旅游景点,广西
000554,泰山石油,石油贸易,山东
000555,神州信息,软件服务,深圳
000039,中集集团,轻工机械,深圳
