code,name,industry,area
002774,快意电梯,运输设备,广东
002526,山东矿机,工程机械,山东
002857,三晖电气,电器仪表,河南
002855,捷荣技术,塑料,广东
002819,东方中科,电器仪表,北京
002858,力盛赛车,文教休闲,上海
002845,同兴达,元器件,深圳
002853,皮阿诺,家居用品,广东
002856,美芝股份,装修装饰,深圳
002274,华昌化工,农药化肥,江苏
002851,麦格米特,电气设备,深圳
002516,旷达科技,纺织,江苏
002066,瑞泰科技,其他建材,北京
002460,赣锋锂业,小金属,江西
002807,江阴银行,银行,江苏
002700,新疆浩源,供气供热,新疆
002683,宏大爆破,化工原料,广东
002708,光洋股份,汽车配件,江苏
002447,壹桥股份,渔业,辽宁
002479,富春环保,火力发电,浙江
002651,利君股份,专用机械,四川
002749,国光股份,农药化肥,四川
002799,环球印务,广告包装,陕西
002044,美年健康,医疗保健,江苏
002805,丰元股份,化工原料,山东
002359,齐星铁塔,钢加工,山东
002277,友阿股份,百货,湖南
002207,准油股份,石油开采,新疆
002802,洪汇新材,化工原料,江苏
002490,山东墨龙,化工机械,山东
002371,北方华创,半导体,北京
002489,浙江永强,家居用品,浙江
002798,帝王洁具,家居用品,四川
002192,融捷股份,专用机械,广东
002506,协鑫集成,半导体,上海
002341,新纶科技,化工原料,深圳
002085,万丰奥威,汽车配件,浙江
002138,顺络电子,元器件,深圳
002189,利达光电,元器件,河南
002148,北纬通信,互联网,北京
002663,普邦股份,建筑施工,广东
002488,金固股份,汽车配件,浙江
002389,南洋科技,元器件,浙江
002466,天齐锂业,小金属,四川
002028,思源电气,电气设备,上海
002765,蓝黛传动,汽车配件,重庆
002306,中科云网,酒店餐饮,北京
002112,三变科技,电气设备,浙江
002116,中国海诚,建筑施工,上海
002034,美 欣 达,纺织,浙江
002692,睿康股份,电气设备,江苏
002182,云海金属,小金属,江苏
002259,升达林业,家居用品,四川
002158,汉钟精机,工程机械,上海
002678,珠江钢琴,文教休闲,广东
002779,中坚科技,农用机械,浙江
002589,瑞康医药,医药商业,山东
002806,华锋股份,元器件,广东
002407,多氟多,化工原料,河南
002084,海鸥卫浴,家居用品,广东
002342,巨力索具,机械基件,河北
002033,丽江旅游,旅游景点,云南
002521,齐峰新材,造纸,山东
002775,文科园林,建筑施工,深圳
002037,久联发展,化工原料,贵州
002549,凯美特气,环境保护,湖南
002497,雅化集团,化工原料,四川
002295,精艺股份,铜,广东
002647,民盛金科,电气设备,浙江
002074,国轩高科,电气设备,江苏
002080,中材科技,化纤,江苏
002214,大立科技,电器仪表,浙江
002709,天赐材料,化工原料,广东
002433,太安堂,中成药,广东
002453,天马精化,化工原料,江苏
002077,大港股份,区域地产,江苏
002108,沧州明珠,塑料,河北
002100,天康生物,饲料,新疆
002536,西泵股份,汽车配件,河南
002221,东华能源,石油贸易,江苏
002204,大连重工,专用机械,辽宁
002469,三维工程,建筑施工,山东
002430,杭氧股份,化工机械,浙江
002289,*ST宇顺,元器件,深圳
002332,仙琚制药,生物制药,浙江
002654,万润科技,半导体,深圳
002322,理工环科,环境保护,浙江
002563,森马服饰,服饰,浙江
002196,方正电机,纺织机械,浙江
002653,海思科,化学制药,西藏
002769,普路通,仓储物流,深圳
002493,荣盛石化,化纤,浙江
002499,科林环保,环境保护,江苏
002185,华天科技,半导体,甘肃
002096,南岭民爆,化工原料,湖南
002772,众兴菌业,种植业,甘肃
002841,视源股份,元器件,广东
002734,利民股份,农药化肥,江苏
002216,三全食品,食品,河南
002090,金智科技,软件服务,江苏
002565,顺灏股份,造纸,上海
002239,奥特佳,汽车配件,江苏
002246,北化股份,化工原料,四川
002287,奇正藏药,中成药,西藏
002203,海亮股份,铜,浙江
002375,亚厦股份,装修装饰,浙江
002572,索菲亚,家居用品,广东
002669,康达新材,化工原料,上海
002626,金达威,食品,福建
002349,精华制药,中成药,江苏
002410,广联达,软件服务,北京
002021,中捷资源,纺织机械,浙江
002002,鸿达兴业,化工原料,江苏
002231,奥维通信,通信设备,辽宁
002696,百洋股份,渔业,广西
002302,西部建设,水泥,新疆
002555,三七互娱,互联网,安徽
002226,江南化工,化工原料,安徽
002660,茂硕电源,电气设备,深圳
002715,登云股份,汽车配件,广东
002215,诺 普 信,农药化肥,深圳
002346,柘中股份,电气设备,上海
002176,江特电机,电气设备,江西
002103,广博股份,文教休闲,浙江
002126,银轮股份,汽车配件,浙江
002728,特一药业,中成药,广东
002026,山东威达,机械基件,山东
002062,宏润建设,建筑施工,浙江
002370,亚太药业,化学制药,浙江
002612,朗姿股份,服饰,北京
002381,双箭股份,橡胶,浙江
002727,一心堂,医药商业,云南
002225,濮耐股份,其他建材,河南
002146,荣盛发展,全国地产,河北
002730,电光科技,电气设备,浙江
002356,赫美集团,服饰,深圳
002491,通鼎互联,通信设备,江苏
002278,神开股份,化工机械,上海
002487,大金重工,钢加工,辽宁
002279,久其软件,软件服务,北京
002746,仙坛股份,农业综合,山东
002275,桂林三金,中成药,广西
002143,印纪传媒,影视音像,四川
002334,英威腾,电气设备,深圳
002553,南方轴承,汽车配件,江苏
002627,宜昌交运,公路,湖北
002330,得利斯,食品,山东
002240,威华股份,家居用品,广东
002445,中南文化,影视音像,江苏
002459,天业通联,工程机械,河北
002494,华斯股份,服饰,河北
002613,北玻股份,专用机械,河南
