date,code,book,name
2019-05-03,002916,5G,深南电路
2019-05-03,002463,5G,沪电股份
2019-05-03,300322,5G,硕贝德
2019-05-03,300570,5G,太辰光
2019-05-03,002796,5G,世嘉科技
2019-05-03,300134,5G,大富科技
2019-05-03,300394,5G,天孚通信
2019-05-03,002281,5G,光迅科技
2019-05-03,002792,5G,通宇通讯
2019-05-03,002859,5G,洁美科技
2019-05-03,300602,5G,飞荣达
2019-05-03,300136,5G,信维通信
2019-05-03,300502,5G,新易盛
2019-06-06,002384,5G,东山精密
2019-06-06,300308,5G,中际旭创
2019-06-06,300684,5G,中石科技
2019-05-03,300408,original,三环集团
2019-05-03,300433,original,蓝思科技
2019-05-03,002273,original,水晶光电
2019-05-03,002570,original,贝因美
2019-05-03,002496,original,辉丰股份
2019-05-03,601360,anke,三六零
2019-05-03,300369,anke,绿盟科技
2019-05-03,300454,anke,深信服
2019-05-03,300188,anke,美亚柏科
2019-05-03,300352,anke,北信源
2019-05-03,002439,anke,启明星辰
2019-05-03,603019,anke,中科曙光
2019-05-03,000977,anke,浪潮信息
2019-05-03,300579,anke,数字认证
2019-05-03,603232,anke,格尔软件
2019-05-03,002912,anke,中新赛克
2019-05-03,000066,anke,中国长城
2019-06-06,300036,soft,超图软件
2019-06-06,300253,soft,卫宁健康
2019-06-06,603189,soft,网达软件
2019-06-06,002859,phone,洁美科技
2019-06-06,300461,phone,田中精机
2019-06-06,002341,ecar,新纶科技
2019-06-06,002050,ecar,三花智控
2019-06-06,002812,ecar,恩捷股份
2019-06-06,002920,ecar,德赛西威
2019-06-06,002454,ecar,松芝股份
2019-06-06,300228,ecar,富瑞特装
2019-06-06,300595,growth,欧普康视
2019-06-06,300559,growth,佳发教育
2019-06-06,300715,growth,凯伦股份
2019-06-06,300513,growth,恒实科技
2019-06-06,300735,growth,光弘科技
2019-06-06,300567,growth,精测电子
2019-06-06,300149,growth,量子生物
2019-06-06,300035,growth,中科电气
2019-06-06,300487,growth,蓝晓科技
