date,code,strategy,expire
2019-04-19,300489,home_run,2019-04-19
2019-04-19,300220,home_run,2019-04-19
2019-04-19,300321,home_run,2019-04-19
2019-04-19,300121,home_run,2019-04-19
2019-04-19,300417,home_run,2019-04-19
2019-04-19,300260,home_run,2019-04-19
2019-04-19,300618,home_run,2019-04-19
2019-04-19,300174,home_run,2019-04-19
2019-04-19,300580,home_run,2019-04-19
2019-04-19,300142,home_run,2019-04-19
2019-04-19,300461,home_run,2019-04-19
2019-04-19,300266,home_run,2019-04-19
2019-04-19,300034,home_run,2019-04-19
2019-04-19,300622,home_run,2019-04-19
2019-04-19,300194,home_run,2019-04-19
2019-04-19,300572,home_run,2019-04-19
2019-04-19,300375,home_run,2019-04-19
2019-04-19,300082,home_run,2019-04-19
2019-04-19,300396,home_run,2019-04-19
2019-04-19,300641,home_run,2019-04-19
2019-04-19,300415,home_run,2019-04-19
2019-04-19,300562,home_run,2019-04-19
2019-04-19,300536,home_run,2019-04-19
2019-04-19,300678,up_overlap_up,2019-04-30
2019-04-19,300213,up_overlap_up,2019-04-30
2019-04-19,300588,up_overlap_up,2019-04-30
2019-04-19,300166,up_overlap_up,2019-04-30
2019-04-19,300036,up_overlap_up,2019-04-30
2019-04-19,300327,up_overlap_up,2019-04-30
2019-04-19,300597,up_overlap_up,2019-04-30
2019-04-19,300033,up_overlap_up,2019-04-30
2019-04-19,300112,up_overlap_up,2019-04-30
2019-04-19,300399,up_overlap_up,2019-04-30
2019-04-19,300380,up_overlap_up,2019-04-30
2019-04-19,300125,up_overlap_up,2019-04-30
2019-04-19,300455,up_overlap_up,2019-04-30
2019-04-19,300178,up_overlap_up,2019-04-30
2019-04-19,300405,up_overlap_up,2019-04-30
2019-04-19,300081,up_overlap_up,2019-04-30
2019-04-19,300538,up_overlap_up,2019-04-30
2019-04-19,300590,up_overlap_up,2019-04-30
2019-04-19,300222,up_overlap_up,2019-04-30
2019-04-19,300377,up_overlap_up,2019-04-30
2019-04-19,300519,up_overlap_up,2019-04-30
2019-04-19,300599,up_overlap_up,2019-04-30
2019-04-19,300168,up_overlap_up,2019-04-30
2019-04-19,002037,up_overlap_up,2019-04-30
2019-04-19,002772,up_overlap_up,2019-04-30
2019-04-19,002491,up_overlap_up,2019-04-30
2019-04-19,002459,up_overlap_up,2019-04-30
2019-04-19,002564,up_overlap_up,2019-04-30
2019-04-19,002848,up_overlap_up,2019-04-30
2019-04-19,002222,up_overlap_up,2019-04-30
2019-04-19,002119,up_overlap_up,2019-04-30
2019-04-19,002104,up_overlap_up,2019-04-30
2019-04-19,002012,up_overlap_up,2019-04-30
2019-04-19,002602,up_overlap_up,2019-04-30
2019-04-19,002369,up_overlap_up,2019-04-30
2019-04-19,002657,up_overlap_up,2019-04-30
2019-04-19,002083,up_overlap_up,2019-04-30
2019-04-19,002673,up_overlap_up,2019-04-30
2019-04-19,002258,up_overlap_up,2019-04-30
2019-04-19,002568,up_overlap_up,2019-04-30
2019-04-19,002842,up_overlap_up,2019-04-30
2019-04-19,002861,up_overlap_up,2019-04-30
2019-04-19,000828,up_overlap_up,2019-04-30
2019-04-19,000712,up_overlap_up,2019-04-30
2019-04-19,000555,up_overlap_up,2019-04-30
2019-04-19,000685,up_overlap_up,2019-04-30
2019-04-19,000523,up_overlap_up,2019-04-30
2019-04-19,000793,up_overlap_up,2019-04-30
2019-04-19,000060,up_overlap_up,2019-04-30
2019-04-19,000627,up_overlap_up,2019-04-30
2019-04-19,000988,up_overlap_up,2019-04-30
2019-04-19,000751,up_overlap_up,2019-04-30
2019-04-19,000850,up_overlap_up,2019-04-30
2019-04-19,000563,up_overlap_up,2019-04-30

2019-05-03,002916,5G,2019-12-31
2019-05-03,002463,5G,2019-12-31
2019-05-03,300322,5G,2019-12-31
2019-05-03,300570,5G,2019-12-31
2019-05-03,002796,5G,2019-12-31
2019-05-03,300134,5G,2019-12-31
2019-05-03,300394,5G,2019-12-31
2019-05-03,002281,5G,2019-12-31
2019-05-03,002792,5G,2019-12-31
2019-05-03,002859,5G,2019-12-31
2019-05-03,300602,5G,2019-12-31
2019-05-03,300136,5G,2019-12-31
2019-05-03,300502,5G,2019-12-31
2019-05-03,300408,original,2019-12-31
2019-05-03,300433,original,2019-12-31
2019-05-03,002273,original,2019-12-31
2019-05-03,002570,original,2019-12-31
2019-05-03,002496,original,2019-12-31
2019-05-03,601360,anke,2019-12-31
2019-05-03,300369,anke,2019-12-31
2019-05-03,300454,anke,2019-12-31
2019-05-03,300188,anke,2019-12-31
2019-05-03,300352,anke,2019-12-31
2019-05-03,002439,anke,2019-12-31
2019-05-03,603019,anke,2019-12-31
2019-05-03,000977,anke,2019-12-31
2019-05-03,300579,anke,2019-12-31
2019-05-03,603232,anke,2019-12-31
2019-05-03,002912,anke,2019-12-31
2019-05-03,000066,anke,2019-12-31
