date,涨停数,跌停数,上涨数,平盘数,下跌数,macd_up,macd_down
2018-11-21,47,3,2335,169,1061,,
2018-11-22,49,5,1614,239,1712,,
2018-11-23,16,60,153,50,3362,,
2018-11-26,31,20,1506,207,1852,,
2018-11-27,40,0,2374,198,994,,
2018-11-28,49,6,2754,139,674,,
2018-11-29,22,8,325,81,3161,,
2018-11-30,29,6,2327,184,1056,,
2018-12-03,75,1,3486,38,43,,
2018-12-04,45,2,2452,209,907,,
2018-12-05,31,23,885,110,2573,,
2018-12-06,24,26,449,79,3041,,
2018-12-07,27,11,1844,230,1495,,
2018-12-10,16,16,762,94,2713,,
2018-12-11,42,3,2568,200,803,,
2018-12-12,24,2,1627,292,1652,,
2018-12-13,25,2,2631,212,728,,
2018-12-14,14,7,249,62,3260,,
2018-12-17,28,7,1672,212,1687,,
2018-12-18,19,3,963,177,2433,,
2018-12-19,19,6,520,130,2923,,
2018-12-20,24,8,2209,261,1103,,
2018-12-21,17,6,939,194,2440,,
2018-12-24,29,7,2582,209,782,,
2018-12-25,38,7,791,85,2700,,
2018-12-26,38,5,1362,244,1970,,
2018-12-27,20,9,525,143,2908,,
2018-12-28,19,7,1796,257,1523,,
2019-01-02,30,15,1526,227,1825,,
2019-01-03,36,22,1371,251,1958,,
2019-01-04,75,1,3371,51,158,,
2019-01-07,86,0,3208,81,291,,
2019-01-08,46,1,1356,215,2010,,
2019-01-09,60,0,1753,263,1566,,
2019-01-10,47,5,1274,215,2094,,
2019-01-11,63,5,2612,163,808,,
2019-01-14,40,15,1016,173,2394,,
2019-01-15,48,5,2833,181,571,,
2019-01-16,31,2,1306,215,2066,,
2019-01-17,32,5,713,132,2742,,
2019-01-18,32,8,2460,171,955,,
2019-01-21,38,4,2165,263,1158,,
2019-01-22,31,1,658,114,2815,,
2019-01-23,42,2,1705,226,1657,,
2019-01-24,43,6,2086,260,1242,,
2019-01-25,40,15,989,155,2444,,
2019-01-28,23,28,1059,155,2374,,
2019-01-29,20,43,630,93,2866,,
2019-01-30,19,69,667,128,2795,,
2019-01-31,15,106,854,103,2633,,
2019-02-01,44,8,3401,44,145,,
2019-02-11,77,4,3472,38,80,,
2019-02-12,67,0,3060,119,411,,
2019-02-13,79,0,3243,92,257,,
2019-02-14,48,1,1847,278,1467,,
2019-02-15,53,0,1280,210,2102,,
2019-02-18,115,0,3552,25,15,,
2019-02-19,78,0,1555,181,1856,,
2019-02-20,62,0,1695,187,1711,,
2019-02-21,69,0,983,132,2478,,
2019-02-22,137,0,3234,62,297,,
2019-02-25,299,0,3556,24,13,,
2019-02-26,99,11,1506,121,1967,,
2019-02-27,77,23,1386,133,2076,,
2019-02-28,53,24,2228,126,1241,,
2019-03-01,55,0,1989,167,1439,,
2019-03-04,136,0,3083,133,379,,
2019-03-05,204,0,3165,74,357,,
2019-03-06,190,0,2853,98,646,,
2019-03-07,227,1,2488,91,1019,,
2019-03-08,75,223,373,34,3192,,
2019-03-11,260,5,3417,37,145,,
2019-03-12,167,0,2774,121,704,,
2019-03-13,67,49,789,61,2750,,
2019-03-14,36,89,534,49,3018,,
2019-03-15,80,7,2893,91,616,,
2019-03-18,93,3,3194,61,346,,
2019-03-19,76,1,1704,137,1760,,
2019-03-20,75,0,1470,138,1994,,
2019-03-21,100,0,2408,169,1025,,
2019-03-22,94,1,1764,134,1704,,
2019-03-25,87,11,1054,87,2461,,
2019-03-26,43,24,512,64,3028,,
2019-03-27,97,2,2031,125,1449,,
2019-03-28,49,43,825,95,2685,,
2019-03-29,83,3,3290,54,261,,
2019-04-01,0,0,0,0,0,,
2019-04-02,103,4,1808,136,1664,,
2019-04-03,108,4,2495,119,994,,
2019-04-04,91,3,1652,146,1810,,
2019-04-08,121,6,1272,75,2261,,
2019-04-09,92,7,2074,110,1425,,
2019-04-10,89,10,1461,110,2039,,
2019-04-11,67,12,653,94,2863,,
2019-04-12,52,23,1720,143,1748,,
2019-04-15,41,8,949,121,2541,,
2019-04-16,93,4,3096,86,431,,
2019-04-17,98,1,2107,122,1384,,
2019-04-18,61,4,1034,96,2483,,
2019-04-19,74,2,2265,130,1218,,
2019-03-08,75,223,373,34,3192,0,4
2019-03-11,260,5,3417,37,145,0,3
2019-03-12,167,0,2774,121,704,0,1
2019-03-13,67,49,789,61,2750,0,3
2019-03-14,36,89,534,49,3018,0,14
2019-03-15,80,7,2893,91,616,0,19
2019-03-18,93,3,3194,61,346,0,15
2019-03-19,76,1,1704,137,1760,0,10
2019-03-20,75,0,1470,138,1994,0,14
2019-03-21,100,0,2408,169,1025,0,4
2019-03-22,94,1,1764,134,1704,0,4
2019-03-25,87,11,1054,87,2461,0,7
2019-03-26,43,24,512,64,3028,0,10
2019-03-27,97,2,2031,125,1449,0,0
2019-03-28,49,43,825,95,2685,0,1
2019-03-29,83,3,3290,54,261,0,1
2019-04-01,0,0,0,0,0,6,0
2019-04-02,103,4,1808,136,1664,1,0
2019-04-03,108,4,2495,119,994,3,1
2019-04-04,91,3,1652,146,1810,8,0
2019-04-08,121,6,1272,75,2261,0,8
2019-04-09,92,7,2074,110,1425,5,1
2019-04-10,89,10,1461,110,2039,3,9
2019-04-11,67,12,653,94,2863,0,5
