vtSymbol,size,priceTick,variableCommission,fixedCommission,slippage,name
002297,1,0.01,0.00003,0,0.01,博云新材
002153,1,0.01,0.00003,0,0.01,石基信息
000333,1,0.01,0.00003,0,0.01,美的集团
002695,1,0.01,0.00003,0,0.01,煌上煌
000803,1,0.01,0.00003,0,0.01,金宇车城
300330,1,0.01,0.00003,0,0.01,华虹计通
002315,1,0.01,0.00003,0,0.01,焦点科技
300046,1,0.01,0.00003,0,0.01,台基股份
300310,1,0.01,0.00003,0,0.01,宜通世纪
300041,1,0.01,0.00003,0,0.01,回天新材
300087,1,0.01,0.00003,0,0.01,荃银高科
300475,1,0.01,0.00003,0,0.01,聚隆科技
300659,1,0.01,0.00003,0,0.01,中孚信息
000661,1,0.01,0.00003,0,0.01,长春高新
002869,1,0.01,0.00003,0,0.01,金溢科技
002395,1,0.01,0.00003,0,0.01,双象股份
300532,1,0.01,0.00003,0,0.01,今天国际
002690,1,0.01,0.00003,0,0.01,美亚光电
002142,1,0.01,0.00003,0,0.01,宁波银行
000969,1,0.01,0.00003,0,0.01,安泰科技
300301,1,0.01,0.00003,0,0.01,长方集团
000157,1,0.01,0.00003,0,0.01,中联重科
000966,1,0.01,0.00003,0,0.01,长源电力
002301,1,0.01,0.00003,0,0.01,齐心集团
300603,1,0.01,0.00003,0,0.01,立昂技术
002511,1,0.01,0.00003,0,0.01,中顺洁柔
002697,1,0.01,0.00003,0,0.01,红旗连锁
000975,1,0.01,0.00003,0,0.01,银泰资源
300482,1,0.01,0.00003,0,0.01,万孚生物
002023,1,0.01,0.00003,0,0.01,海特高新
000715,1,0.01,0.00003,0,0.01,中兴商业
300025,1,0.01,0.00003,0,0.01,华星创业
002231,1,0.01,0.00003,0,0.01,奥维通信
002410,1,0.01,0.00003,0,0.01,广联达
000858,1,0.01,0.00003,0,0.01,五 粮 液
000655,1,0.01,0.00003,0,0.01,金岭矿业
300345,1,0.01,0.00003,0,0.01,红宇新材
300463,1,0.01,0.00003,0,0.01,迈克生物
300220,1,0.01,0.00003,0,0.01,金运激光
300661,1,0.01,0.00003,0,0.01,圣邦股份
002759,1,0.01,0.00003,0,0.01,天际股份
300576,1,0.01,0.00003,0,0.01,容大感光
002729,1,0.01,0.00003,0,0.01,好利来
300401,1,0.01,0.00003,0,0.01,花园生物
