code,name,industry,area
300688,创业黑马,综合类,北京
300689,澄天伟业,元器件,深圳
300691,联合光电,元器件,广东
300543,朗科智能,电气设备,深圳
300685,艾德生物,生物制药,福建
300675,建科院,建筑施工,深圳
300678,中科信息,软件服务,四川
300312,邦讯技术,通信设备,北京
300024,机器人,专用机械,辽宁
300068,南都电源,电气设备,浙江
300356,光一科技,电气设备,江苏
300582,英飞特,半导体,浙江
300502,新易盛,通信设备,四川
300281,金明精机,专用机械,广东
300374,恒通科技,其他建材,北京
300213,佳讯飞鸿,通信设备,北京
300567,精测电子,电器仪表,湖北
300469,信息发展,软件服务,上海
300465,高伟达,软件服务,北京
300101,振芯科技,通信设备,四川
300090,盛运环保,环境保护,安徽
300114,中航电测,元器件,陕西
300686,智动力,元器件,深圳
300306,远方光电,电器仪表,浙江
300353,东土科技,通信设备,北京
300493,润欣科技,通信设备,上海
300366,创意信息,软件服务,四川
300663,科蓝软件,软件服务,北京
300268,佳沃股份,农业综合,湖南
300416,苏试试验,电器仪表,江苏
300458,全志科技,元器件,广东
300348,长亮科技,软件服务,深圳
300482,万孚生物,生物制药,广东
300061,康旗股份,医疗保健,上海
300557,理工光科,电器仪表,湖北
300367,东方网力,电脑设备,北京
300598,诚迈科技,软件服务,江苏
300252,金信诺,电气设备,深圳
300276,三丰智能,专用机械,湖北
300056,三维丝,环境保护,福建
300608,思特奇,软件服务,北京
300143,星普医科,种植业,广东
300541,先进数通,软件服务,北京
300595,欧普康视,医疗保健,安徽
300054,鼎龙股份,化工原料,湖北
300500,启迪设计,建筑施工,江苏
300358,楚天科技,医疗保健,湖南
300523,辰安科技,软件服务,北京
300161,华中数控,机床制造,湖北
300002,神州泰岳,软件服务,北京
300287,飞利信,软件服务,北京
300526,中潜股份,专用机械,广东
300148,天舟文化,出版业,湖南
300588,熙菱信息,软件服务,新疆
300063,天龙集团,染料涂料,广东
300045,华力创通,电脑设备,北京
300400,劲拓股份,专用机械,深圳
300672,国科微,半导体,湖南
300271,华宇软件,软件服务,北京
300487,蓝晓科技,化工原料,陕西
300113,顺网科技,互联网,浙江
300330,华虹计通,软件服务,上海
300299,富春股份,通信设备,福建
300302,同有科技,软件服务,北京
300391,康跃科技,机械基件,山东
300329,海伦钢琴,文教休闲,浙江
300007,汉威科技,电器仪表,河南
300193,佳士科技,专用机械,深圳
300496,中科创达,软件服务,北京
300166,东方国信,软件服务,北京
300036,超图软件,软件服务,北京
300545,联得装备,专用机械,深圳
300292,吴通控股,通信设备,江苏
300077,国民技术,半导体,深圳
300577,开润股份,纺织,安徽
300229,拓尔思,软件服务,北京
300044,赛为智能,软件服务,深圳
300474,景嘉微,元器件,湖南
300337,银邦股份,铝,江苏
300424,航新科技,航空,广东
300018,中元股份,电气设备,湖北
300402,宝色股份,专用机械,江苏
300383,光环新网,电信运营,北京
300429,强力新材,化工原料,江苏
300438,鹏辉能源,电气设备,广东
300091,金通灵,机械基件,江苏
300232,洲明科技,半导体,深圳
